REGION,SITE,CUM,YEAR,PERIOD,MONTH,DAY,MICSAL,ESOAME,LEPGUL,ERISUC,HEMLET,AMENAT,LEPMAC,LEPPLA,LEPMIC,OREAUR,LEPPUN,MACSIA,CICMAN,CICURO,MONALB,TILMAR,BELBEL,CLABAT,HOPLIT,AMENEB,LEPSPP,CICBIM,NOTCRY,AMICAL,FUNSEM,ANGROS,ESONIG,ASTOCE,TOTFISH
LOX,LOX7A2,73,2010,3,9,2,0.6195390405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6195390405
LOX,LOX7A2,74,2010,4,11,30,0,0.013313751,0.0468845201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601982711
LOX,LOX7A2,76,2011,1,1,21,0,0,0.0809583135,0.0148256751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0957839885
LOX,LOX7A2,82,2012,2,2,29,0,0,0.0153984799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153984799
LOX,LOX7A2,91,2014,1,1,16,0,0,0,0.0116902835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116902835
LOX,LOX7A2,96,2015,1,1,9,0,0,0.0339382807,0,0.0054897373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039428018
LOX,LOX7A2,97,2015,2,3,5,0,0,0,0.0602756912,0,0.1516553419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2119310332
LOX,LOX7A2,99,2015,4,12,8,0,0,0.0183307782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183307782
LOX,LOX7A2,104,2016,4,11,29,0,0,0,0,0.0052177035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052177035
LOX,LOX7A2,106,2017,1,2,1,0,0,0,0,0.0016109023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016109023
LOX,LOX7A2,107,2017,2,4,12,0,0,0.0626766235,0.0322504643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949270878
LOX,LOX7A2,110,2018,2,4,20,0,0,0.1410215541,0.0226161794,0,0,0.0252049491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1888426826
LOX,LOX7B2X,69,2009,4,11,4,0,0,0,0.0564913884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564913884
LOX,LOX7B2X,71,2010,1,2,10,0,0,0.0105332434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105332434
LOX,LOX7B2X,73,2010,3,9,2,0,0,0,0,0,0.3109390343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3109390343
LOX,LOX7B2X,76,2011,1,1,21,0,0.0106446086,0,0.042629294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532739026
LOX,LOX7B2X,79,2011,4,11,22,0,0,0,0,0,0,0,0.1579675826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1579675826
LOX,LOX7B2X,83,2012,3,8,17,0,0,0.0294069523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294069523
LOX,LOX7B2X,84,2012,4,12,6,0,0,0.0209376467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209376467
LOX,LOX7B2X,87,2013,2,3,26,0,0.0228866509,0,0.009554051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324407019
LOX,LOX7B2X,91,2014,1,1,16,0,0,0,0.0133442812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133442812
LOX,LOX7B2X,92,2014,2,4,16,0,0.0656145604,0,0.0606567784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1262713389
LOX,LOX7B2X,93,2014,3,8,18,0,0,0,0,0,0,0,0.1187266575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1187266575
LOX,LOX7B2X,97,2015,2,3,5,0,0.0192946949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192946949
LOX,LOX7B2X,98,2015,3,9,2,0,0,0,0.0433620935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433620935
