Date,Year,Season,Slough,Site,Habitat,Method,Species,ID,Count,Wet mass (g),Comments,Entered By,Checked By,Processed,-80 Freezer,Freeze Drier,Dried,Crushed,Isotope,Decarb
12/10/2018,2018,WET,TSL,AH5,NEAR POND,MT,PALPAL,PP01,7,0.875,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,NEAR POND,MT,PALPAL,PP02,,,,,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,NEAR POND,MT,PALPAL,PP03,,,,,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,NEAR POND,MT,PALPAL,PP04,,,,,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,NEAR POND,MT,PALPAL,PP05,,,,,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,NEAR POND,MT,PALPAL,PP06,,,,,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,NEAR POND,MT,PALPAL,PP07,,,,,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,PALPAL,PP08,1,0.096,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,PALPAL,PP09,11,1.213,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,PALPAL,PP10,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,PALPAL,PP11,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,PALPAL,PP12,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,PALPAL,PP13,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,PALPAL,PP14,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,PALPAL,PP15,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,PALPAL,PP16,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,PALPAL,PP17,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,PALPAL,PP18,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,PALPAL,PP19,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,PELFEM,PF01,1,0.038,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,MELTUB,MT01,1,0.011,,SS,VG,Y,N,N,N,N,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP20,17,2.46,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP21,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP22,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP23,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP24,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP25,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP26,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP27,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP28,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP29,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP30,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP31,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP32,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP33,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP34,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP35,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,PALPAL,PP36,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,PALPAL,PP37,7,1.134,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,PALPAL,PP38,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,PALPAL,PP39,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,PALPAL,PP40,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,PALPAL,PP41,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,PALPAL,PP42,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,POND,MT,PALPAL,PP43,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP44,16,1.971,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP45,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP46,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP47,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP48,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP49,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP50,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP51,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP52,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP53,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP54,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP55,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP56,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP57,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP58,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/9/2018,2018,WET,SRS,BJB,?,MT,PALPAL,PP59,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,PALPAL,PP60,3,0.56,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,PALPAL,PP61,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,NEAR POND,MT,PALPAL,PP62,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,PALPAL,PP63,7,0.45,,SS,VG,Y,Y,Y,Y,Y,N,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,PALPAL,PP64,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,PALPAL,PP65,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,PALPAL,PP66,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,PALPAL,PP67,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,PALPAL,PP68,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/11/2018,2018,WET,TSL,AH3,MARSH,MT,PALPAL,PP69,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,POND,MT,PALPAL,PP70,1,0.011,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP71,27,3.341,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP72,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP73,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP74,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP75,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP76,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP77,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP78,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP79,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP80,,,,SS,VG,Y,Y,Y,Y,Y,N,N
