Date,Year,Slough,Site,Habitat,Species,ID,Freezer?,Tube Weight,Total Mass,Comments,Processed,-80 Freezer,Freeze Drier,Dried,Crushed,Isotope,Decarb,Entered By,Checked By
12/12/2018,2018,TSL,AHMDB,MARSH,Algae Ball,AB09,N,,,TT1,Y,Y,Y,Y,Y,N,N,SS,
11/16/2018,2018,SRS,AH11,CATB,Algae Ball,AB01,N,,,AB 02 MISSING,Y,Y,Y,Y,Y,N,N,SS,
4/26/2019,2019,TSL,AH3,MARSH,Algae Ball,AB03,N,,,,Y,Y,Y,Y,Y,N,N,SS,
4/26/2019,2019,TSL,AHMDB,POND,ALGAE BALL,AB04,N,,,DISCARDED,Y,Y,Y,Y,Y,N,N,SS,
12/10/2018,2018,TSL,AH5,POND,Algae Ball,AB05,N,,,,Y,Y,Y,Y,Y,N,N,SS,
11/19/2018,2018,SRS,AH13,POND,Algae Ball,AB06,N,,,AB 07 MISSING,Y,Y,Y,Y,Y,N,N,SS,
12/10/2018,2018,TSL,AH5,POND,Algae Ball,AB08,N,,,,Y,Y,Y,Y,Y,N,N,SS,
12/12/2018,2018,TSL,AHMDB,NEAR POND,Algae Ball,AB10,N,,,TT1,Y,Y,Y,Y,Y,N,N,SS,
12/12/2018,2018,TSL,AHMDB,NEAR POND,Algae Ball,AB11,N,,,TT2,Y,Y,Y,Y,Y,N,N,SS,
12/12/2018,2018,TSL,AHMDB,POND,Algae Ball,AB12,N,,,TT3,Y,Y,Y,Y,Y,N,N,SS,
12/12/2018,2018,TSL,AHMDB,POND,Algae Ball,AB13,N,,,TT2,Y,Y,Y,Y,Y,N,N,SS,
12/12/2018,2018,TSL,AHMDB,POND,Algae Ball,AB14,N,,,,Y,Y,Y,Y,Y,N,N,SS,
12/13/2018,2018,SRS,AH13,POND-T1,Algae Ball,AB15,N,,,,Y,Y,Y,Y,Y,N,N,SS,
12/13/2018,2018,SRS,AHWG16,POND-T2,Algae Ball,AB16,Y,,,,Y,N,N,N,N,N,N,SS,
12/13/2018,2018,SRS,AHWG16,MARSH-T3,Algae Ball,AB17,Y,,,,Y,N,N,N,N,N,N,,
12/13/2018,2018,SRS,AHWG16,NEAR POND-T1,Algae Ball,AB18,Y,,,,Y,N,N,N,N,N,N,,
12/13/2018,2018,SRS,AHWG16,NEAR POND-T2,Algae Ball,AB19,Y,,,,Y,N,N,N,N,N,N,,
2018,2018,SRS,BJB,POND-T2,Algae Ball,AB20,Y,,,,Y,N,N,N,N,N,N,,
2019,2019,SRS,AH13,POND-T1,Algae Ball,AB21,Y,,,,Y,N,N,N,N,N,N,,
2019,2019,SRS,AH13,POND-T2,Algae Ball,AB22,Y,,,IN LARGE TUBE,Y,N,N,N,N,N,N,,
2019,2019,SRS,AH13,POND-T3,Algae Ball,AB23,Y,,,,Y,N,N,N,N,N,N,,
3/13/2019,2019,SRS,AH11,POND-T1,Algae Ball,AB24,Y,,,,Y,N,N,N,N,N,N,,
3/13/2019,2019,SRS,AH11,POND-MT,Algae Ball,AB25,Y,,,,Y,N,N,N,N,N,N,,
3/18/2019,2019,SRS,LJB,POND-T1,Algae Ball,AB26,,,,,,,,,,,,,
3/18/2019,2019,SRS,LJB,POND-T2,Algae Ball,AB27,,,,,,,,,,,,,
3/18/2019,2019,SRS,LJB,POND-T3,Algae Ball,AB28,,,,,,,,,,,,,
12/11/2018,2018,TSL,AHMDB,NEAR POND,FLOC,F01,,6.588,11.16,,Y,Y,Y,Y,Y,N,N,SS,VG
12/11/2018,2018,TSL,AHMDB,POND,FLOC,F02,,6.403,11.332,,Y,Y,Y,Y,Y,N,N,SS,VG
12/11/2018,2018,TSL,AHMDB,MARSH,FLOC,F03,,6.773,10.873,,Y,Y,Y,Y,Y,N,N,SS,VG
12/7/2018,2018,TSL,AH2,POND,FLOC,F04,,6.609,9.825,,Y,Y,Y,Y,Y,N,N,SS,VG
12/7/2018,2018,TSL,AH2,NEAR POND,FLOC,F05,,6.755,10.274,,Y,Y,Y,Y,Y,N,N,SS,VG
12/7/2018,2018,TSL,AH2,MARSH,FLOC,F06,,6.688,10.086,,Y,Y,Y,Y,Y,N,N,SS,VG
12/10/2018,2018,TSL,AH3,POND,FLOC,F07,,6.416,10.598,,Y,Y,Y,Y,Y,N,N,SS,VG
12/10/2018,2018,TSL,AH3,MARSH,FLOC,F08,,6.673,9.411,,Y,Y,Y,Y,Y,N,N,SS,VG
12/10/2018,2018,TSL,AH3,NEAR POND,FLOC,F09,,6.725,10.056,,Y,Y,Y,Y,Y,N,N,SS,VG
12/13/2018,2018,SRS,AHWG16,SAWGRASS MARSH,FLOC,F10,,6.608,10.248,,Y,Y,Y,Y,Y,N,N,SS,VG
12/13/2018,2018,SRS,AHWG16,POND,FLOC,F11,,6.679,10.757,,Y,Y,Y,Y,Y,N,N,SS,VG
