Date,Year,Season,Slough,Site,Habitat,Method,Species,ID,Length (mm),Wet mass (g),Sex,Stomach Kept,Comments,Entered By,Checked By,Processed,-80 Freezer,Freeze Drier,Dried,Crushed,Isotope,Decarb
12/10/2018,2018,WET,TSL,AH5,NEAR POND,MT,LUCGOO,LG01,16.64,0.09,3,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,NEAR POND,MT,HETFOR,HF02,13.24,0.048,2,N,No LG2-LG3,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,NEAR POND,MT,GAMHOL,GH01,32.71,0.758,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/7/2018,2018,WET,TSL,AH2,NEAR POND,MT,GAMHOL,GH02,27.62,0.441,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/7/2018,2018,WET,TSL,AH2,NEAR POND,MT,FUNCHR,FC01,31.16,0.556,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,NEAR POND,MT,HETFOR,HF01,19.58,0.188,2,N,4 embryos,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG04,24.84,0.236,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG05,23.52,0.197,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG06,22.3,0.172,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG07,23.04,0.18,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG08,18.97,0.121,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG09,19.77,0.133,2,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG10,21.45,0.18,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG11,21.17,0.176,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG12,20.72,0.169,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG13,19.28,0.129,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG14,21.11,0.157,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG15,19.27,0.13,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG16,23.65,0.215,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,LUCGOO,LG17,19.01,0.125,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,POND,MT,NOTPET,NP01,27.11,0.262,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,LUCGOO,LG18,24.18,0.279,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,LUCGOO,LG19,24.52,0.262,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,LUCGOO,LG20,25.73,0.298,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,LUCGOO,LG21,21.98,0.208,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,LUCGOO,LG22,21.54,0.192,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,LUCGOO,LG23,18.2,0.1,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,LUCGOO,LG24,19.79,0.12,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,LUCGOO,LG25,23.92,0.26,1,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,LUCGOO,LG26,21.28,0.184,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,LUCGOO,LG27,23.51,0.234,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,LUCGOO,LG28,20.03,0.13,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/7/2018,2018,WET,TSL,AH2,MARSH,MT,LUCGOO,LG29,14.3,0.05,3,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,NOTPET,NP02,33.52,0.457,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,TILMAR,TM01,26.96,0.71,,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,HETFOR,HF03,17.19,0.106,2,N,4 embryo,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,HETFOR,HF04,15.11,0.079,2,N,,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,HETFOR,HF05,14.61,0.067,2,N,1 embryo,SS,VG,Y,Y,Y,Y,Y,N,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG30,18.44,0.126,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
12/10/2018,2018,WET,TSL,AH5,MARSH,MT,LUCGOO,LG31,23.28,0.223,1,N,,SS,VG,Y,Y,Y,Y,Y,Y,N
