Month,Year,Slough,Site,Habitat,Species,ID,Count,COMMENTS,Processed,-80 Freezer,Freeze Drier,Dried,Isotope
APR,2019,TSL,AH3,MARSH,EPHEME,Mi1,13,,Y,N,N,N,N
APR,2019,TSL,AH3,MARSH,AMPHIPOD,Mi2,56,,Y,Y,Y,Y,Y
APR,2019,TSL,AH3,MARSH,OSTRACOD,Mi3**,287,**SAME AS Mi3,Y,Y,Y,Y,Y
APR,2019,TSL,AH3,MARSH,OSTRACOD,Mi4**,,**SAME AS Mi3,Y,Y,Y,Y,Y
APR,2019,TSL,AH3,MARSH,OSTRACOD,Mi5**,,**SAME AS Mi3,Y,Y,Y,Y,Y
APR,2019,TSL,AH3,MARSH,LAESPP,Mi6,1,,Y,N,N,N,N
APR,2019,TSL,AH3,MARSH,POMPAL,Mi7,1,,Y,N,N,N,N
APR,2019,TSL,AH3,MARSH,LITMON,Mi8,11,,Y,N,N,N,N
APR,2019,TSL,AH3,MARSH,BROWN MITE,Mi9,2,,Y,N,N,N,N
APR,2019,TSL,AH3,MARSH,ORANGE MITE,Mi10,1,,Y,N,N,N,N
APR,2019,TSL,AH3,MARSH,PLASCA,Mi11,1,,Y,N,N,N,N
APR,2019,TSL,AH3,MARSH,CLADOCERA,Mi12,39,,Y,Y,Y,Y,N
APR,2019,TSL,AH3,MARSH,COPEPOD,Mi13,31,,Y,Y,Y,Y,N
APR,2019,TSL,AH3,MARSH,CHIRON,Mi14,21,,Y,Y,Y,Y,N
APR,2019,TSL,AH3,MARSH,BLUE MITE,Mi15,59,,Y,Y,Y,Y,Y
APR,2019,TSL,AH3,MARSH,CORIXI,Mi16,1,,Y,N,N,N,N
APR,2019,TSL,AH3,MARSH,GASTROPOD,Mi17,1,NO SHELL,Y,N,N,N,N
APR,2019,TSL,AHMDB,NEAR POND,DIPUP,Mi18,1,,Y,N,N,N,N
APR,2019,TSL,AHMDB,NEAR POND,PLASCA,Mi19,1,,Y,N,N,N,N
APR,2019,TSL,AHMDB,NEAR POND,PELFEM,Mi20,1,,Y,N,N,N,N
APR,2019,TSL,AHMDB,NEAR POND,CORIXI,Mi21,2,,Y,N,N,N,N
APR,2019,TSL,AHMDB,NEAR POND,CLADOCERA,Mi22,45,,Y,Y,Y,Y,N
APR,2019,TSL,AHMDB,NEAR POND,CHIRON,Mi23,14,,Y,N,N,N,N
APR,2019,TSL,AHMDB,NEAR POND,BLUE MITE,Mi24,79,,Y,Y,Y,Y,Y
APR,2019,TSL,AHMDB,NEAR POND,ORANGE MITE,Mi25,1,,Y,N,N,N,N
APR,2019,TSL,AHMDB,NEAR POND,COPEPOD,Mi26,158,,Y,Y,Y,Y,Y
APR,2019,TSL,AHMDB,NEAR POND,BROWN MITE,Mi27,2,,Y,N,N,N,N
APR,2019,TSL,AHMDB,NEAR POND,OSTRACOD,Mi28,137,,Y,Y,Y,Y,N
APR,2019,TSL,AHMDB,NEAR POND,AMPHIPOD,Mi29,14,,Y,N,N,N,N
APR,2019,TSL,AHMDB,NEAR POND,EPHEME,Mi30,5,,Y,N,N,N,N
APR,2019,TSL,AH2,POND,AMPHIPOD,Mi31,3,,Y,N,N,N,N
APR,2019,TSL,AH2,POND,FUNSPP,Mi32,1,,Y,N,N,N,N
APR,2019,TSL,AH2,POND,BLUE MITE,Mi33,35,,Y,Y,Y,Y,N
APR,2019,TSL,AH2,POND,CORIXI,Mi34,1,,Y,N,N,N,N
APR,2019,TSL,AH2,POND,CHIRON,Mi35,7,,Y,N,N,N,N
APR,2019,TSL,AH2,POND,CLADOCERA,Mi36,1,,Y,N,N,N,N
APR,2019,TSL,AH9,POND,CLADOCERA,Mi37,14,,Y,N,N,N,N
APR,2019,TSL,AH9,POND,EPHEME,Mi38,2,,Y,N,N,N,N
APR,2019,TSL,AH9,POND,BLUE MITE,Mi39,10,,Y,N,N,N,N
APR,2019,TSL,AH9,POND,MELTUB,Mi40,1,,Y,N,N,N,N
APR,2019,TSL,AH9,POND,OSTRACOD,Mi41,97,,Y,Y,Y,Y,N
APR,2019,TSL,AH9,POND,COPEPOD,Mi42,283,,Y,Y,Y,Y,N
APR,2019,TSL,AH2,POND,COPEPOD,Mi43,21,,Y,N,N,N,N
APR,2019,TSL,AH5,NEAR POND,CLADOCERA,Mi44,22,,Y,N,N,N,N
APR,2019,TSL,AH2,POND,OSTRACOD,Mi45,24,,Y,N,N,N,N
MAR,2019,SRS,CATB,MARSH,CLADOCERA,Mi46,22,,Y,N,N,N,N
MAR,2019,SRS,CATB,POND,COPEPOD,Mi47,29,,Y,N,N,N,N
MAR,2019,SRS,CATB,POND,OSTRACOD,Mi48,44,,Y,Y,Y,Y,N
APR,2019,TSL,AH2,POND,MELTUB,Mi49,1,,Y,N,N,N,N
APR,2019,TSL,AH3,POND,BLUE MITE,Mi50,61,,Y,Y,Y,Y,N
APR,2019,TSL,AH3,POND,AMPHIPOD,Mi51,1,,Y,Y,Y,Y,N
APR,2019,TSL,AH3,POND,OSTRACOD,Mi52**,228,**SAME AS Mi52,Y,Y,Y,Y,N
APR,2019,TSL,AH3,POND,OSTRACOD,Mi53**,,**SAME AS Mi52,Y,Y,Y,Y,N
APR,2019,TSL,AH3,POND,OSTRACOD,Mi54**,,**SAME AS Mi52,Y,Y,Y,Y,N
APR,2019,TSL,AH3,POND,CLADOCERA,Mi55,8,,Y,N,N,N,N
APR,2019,TSL,AH5,POND,BLUE MITE,Mi56,25,,Y,N,N,N,N
APR,2019,TSL,AH5,POND,EPHEME,Mi57,1,,Y,N,N,N,N
APR,2019,TSL,AH5,POND,CHIRON,Mi58,5,,Y,N,N,N,N
APR,2019,TSL,AH5,POND,PALPAL,Mi59,1,,Y,N,N,N,N
APR,2019,TSL,AH5,POND,COPEPOD,Mi60,15,,Y,N,N,N,N
APR,2019,TSL,AH5,POND,OSTRACOD,Mi61,20,,Y,N,N,N,N
