Species,Code,d15N,d13C
AMEIURUS NATALIS,9,8.5013,-26.8271
AMEIURUS NATALIS,9,9.1032,-26.5781
AMEIURUS NATALIS,9,9.8101,-25.819
AMEIURUS NATALIS,9,10.1619,-25.5914
AMEIURUS NATALIS,9,10.3429,-25.4589
ANISOPTERA NAIAD,6,4.7512,-32.205
ANISOPTERA NAIAD,6,5.5026,-31.1277
ANISOPTERA NAIAD,6,5.6303,-31.5151
ANISOPTERA NAIAD,6,6.0135,-30.3929
ANISOPTERA NAIAD,6,6.2028,-30.1499
ASTRONOTUS OCELLATUS,9,9.6648,-27.057
BACOPA,3,-2.9427,-23.0421
BACOPA,3,-2.8923,-24.1622
BACOPA,3,-1.5739,-26.4331
BACOPA,3,-0.8534,-20.8966
BACOPA,3,-0.7375,-22.6771
BACOPA,3,0.2674,-20.7213
BELONESOX,11,10.7634,-27.0075
BELONESOX,11,10.8833,-26.215
BELONESOX,11,10.9878,-26.2189
BELONESOX,11,11.1271,-26.9267
BELONESOX,11,11.1412,-26.5802
BELOSTOMA,6,4.0006,-27.0278
BELOSTOMA,6,5.2013,-29.2022
BELOSTOMA,6,5.582,-31.1576
BELOSTOMA,6,6.1623,-29.683
BELOSTOMA,6,6.4364,-30.1338
CAENIS,4,3.7335,-32.3054
CHIRONOMID LARVAE,5,5.0844,-31.2093
CICHLASOMA BIMACULATUM,9,7.9506,-28.8522
CICHLASOMA UROPHTHALMUS,9,7.5905,-27.7929
CICHLASOMA UROPHTHALMUS,9,7.9614,-25.9081
CICHLASOMA UROPHTHALMUS,9,8.5443,-28.2242
CICHLASOMA UROPHTHALMUS,9,8.9039,-26.3684
CICHLASOMA UROPHTHALMUS,9,9.0261,-26.7939
CLADOCERA,13,-3.5145,-25.1868
CLADOCERA,13,-3.2777,-25.5515
CLADOCERA,13,-3.0624,-25.3768
CLADOCERA,13,-2.9884,-25.198
CLADOCERA,13,-2.7935,-25.4544
CLADOCERA,13,-2.7731,-25.1805
CLARIAS,9,8.5476,-26.0271
CYANOBACTERIA,12,2.6877,-22.8702
ELEOCHARIS CELLULOSA,3,-4.7867,-24.3988
ELEOCHARIS CELLULOSA,3,-4.0033,-24.4994
ELEOCHARIS CELLULOSA,3,-3.9024,-24.9694
ELEOCHARIS CELLULOSA,3,-2.2696,-25.0309
ELEOCHARIS CELLULOSA,3,-0.7138,-24.7909
ELEOCHARIS CELLULOSA,3,0.0319,-24.8739
ERIMYZON,10,7.0189,-26.5319
ERIMYZON,10,7.4357,-28.0285
ERIMYZON,10,7.5897,-27.0691
ERIMYZON,10,7.7047,-26.0735
ERIMYZON,10,8.6025,-27.1118
FUNDULUS CHRYSOTUS,8,9.1558,-27.3194
