ID,Species,size_class,Percent_C,Percent_N,d13C,d15N,Season,Site,Habitat,Slough,Sample_Type,Month,Day,Year,Throw,Length,Wet_Weight,Sex,Stomach_Kept,Comments
BB07,BELBEL,B.bel2,39.38,9.87,-29.2,10.35,Dry,AH13,Edge,SRS,vert,3,15,2019,NA,66.18,3.698,2,N,2 PP IN FREEZER
BB12,BELBEL,B.bel1,45.12,12.19,-29.55,9.22,Dry,AH11,Edge,SRS,vert,3,15,2019,NA,57.84,2.265,1,N,NA
BS31,BELSPP,NA,48.17,11.11,-29.56,4.83,Dry,AH13,Edge,SRS,invert,3,15,2019,NA,NA,0.441,NA,NA,NA
CU58,CICURO,C.uro1,40.82,12.34,-31.2,7.99,Dry,AH11,Edge,SRS,vert,3,14,2019,NA,45,3.665,NA,N,CUP IN FREEZER
HM52,HEMLET,H.let1,40.82,11.38,-31.07,9.58,Dry,AH11,Edge,SRS,vert,3,15,2019,NA,46.8,3.478,NA,N,NA
HM53,HEMLET,H.let1,43.79,12.18,-31.44,8.25,Dry,AH11,Edge,SRS,vert,3,15,2019,NA,58.19,6.847,NA,N,NA
HM53,HEMLET,H.let1,48.95,13.35,-31.56,8.43,Dry,AH11,Edge,SRS,vert,3,15,2019,NA,58.19,6.847,NA,N,NA
LPu06,LEPPUN,L.pun1,42.89,10.45,-33.03,8.65,Dry,AH11,Edge,SRS,vert,3,14,2019,NA,37.72,2.239,NA,N,NA
LPu06,LEPPUN,L.pun1,43.39,10.36,-33.16,8.69,Dry,AH11,Edge,SRS,vert,3,14,2019,NA,37.72,2.239,NA,N,NA
LPu07,LEPPUN,L.pun1,41.45,9.61,-34.11,8.69,Dry,AH11,Edge,SRS,vert,3,14,2019,NA,34.82,1.649,NA,N,NA
LPu08,LEPPUN,L.pun1,44.56,11.08,-33.67,9.74,Dry,AH11,Edge,SRS,vert,3,14,2019,NA,37.97,2.211,NA,N,NA
LPu09,LEPPUN,L.pun1,42.57,11.1,-32.48,10.64,Dry,AH11,Edge,SRS,vert,3,14,2019,NA,38.04,2.098,NA,N,NA
AN07,AMENAT,A.nat1,49,9.31,-32.57,10.79,Dry,7A,Marsh,SRS,vert,3,20,2019,NA,82,13.293,NA,Y,NA
AN18,AMENAT,A.nat1,44.83,12.36,-30.91,9.64,Dry,8A,Marsh,SRS,vert,3,20,2019,NA,92.65,21.488,NA,Y,NA
AP13,AMPHIPOD,NA,32.0785366,NA,-25.93453888,NA,Dry,AHWG16,Marsh,SRS,invert,3,15,2019,NA,NA,1.055,NA,NA,added 58
AP13,AMPHIPOD,NA,33.26630004,NA,-26.31295124,NA,Dry,AHWG16,Marsh,SRS,invert,3,15,2019,NA,NA,1.055,NA,NA,added 58
AP13a,AMPHIPOD,NA,33.99,6.63,-26.68,5.12,Dry,AHWG16,Marsh,SRS,invert,3,15,2019,NA,NA,1.055,NA,NA,added 58
AP13b,AMPHIPOD,NA,35.24,7.09,-27.15,5.13,Dry,AHWG16,Marsh,SRS,invert,3,15,2019,NA,NA,1.055,NA,NA,added 58
AP13c,AMPHIPOD,NA,33.3,6.17,-26.62,5.04,Dry,AHWG16,Marsh,SRS,invert,3,15,2019,NA,NA,1.055,NA,NA,added 58
AP13c,AMPHIPOD,NA,33.57,6.38,-26.67,5.14,Dry,AHWG16,Marsh,SRS,invert,3,15,2019,NA,NA,1.055,NA,NA,added 58
AP14,AMPHIPOD,NA,32.03816484,NA,-26.51542884,NA,Dry,AH13,Marsh,SRS,invert,3,15,2019,NA,NA,1.057,NA,NA,added 56
AP14,AMPHIPOD,NA,33.66316167,NA,-26.78577995,NA,Dry,AH13,Marsh,SRS,invert,3,15,2019,NA,NA,1.057,NA,NA,added 56
AP14a,AMPHIPOD,NA,33.88,6.47,-26.93,4.99,Dry,AH13,Marsh,SRS,invert,3,15,2019,NA,NA,1.057,NA,NA,added 56
AP14a,AMPHIPOD,NA,33.37,6.39,-26.9,5.01,Dry,AH13,Marsh,SRS,invert,3,15,2019,NA,NA,1.057,NA,NA,added 56
AP14b,AMPHIPOD,NA,33.13,6.24,-26.86,4.93,Dry,AH13,Marsh,SRS,invert,3,15,2019,NA,NA,1.057,NA,NA,added 56
AP14c,AMPHIPOD,NA,32.74,6.07,-26.81,4.94,Dry,AH13,Marsh,SRS,invert,3,15,2019,NA,NA,1.057,NA,NA,added 56
AA01,AMPMEA,A.mea1,22.53,6.29,-27.69,9.77,Dry,AHWG16,Marsh,SRS,vert,3,15,2019,NA,520.7,162.315,NA,N,NA
AY03,APHSAY,A.say1,45.17,12.57,-30.05,9.28,Dry,AH13,Marsh,SRS,vert,3,14,2019,NA,31.8,0.905,NA,N,NA
AY04,APHSAY,A.say1,48.13,12.91,-30.51,7.15,Dry,AH13,Marsh,SRS,vert,3,14,2019,NA,28,0.61,NA,N,NA
AY04,APHSAY,A.say1,46.6,12.39,-30.38,7.02,Dry,AH13,Marsh,SRS,vert,3,14,2019,NA,28,0.61,NA,N,NA
AY05,APHSAY,A.say1,43.93,13.18,-29.66,6.96,Dry,AH13,Marsh,SRS,vert,3,15,2019,NA,27.8,0.778,NA,N,NA
AY06,APHSAY,A.say1,43.79,12.65,-31.11,11.93,Dry,AHWG16,Marsh,SRS,vert,3,15,2019,NA,32.51,1.082,NA,N,NA
AY07,APHSAY,A.say1,41.71,11.49,-29.82,7.52,Dry,AHWG16,Marsh,SRS,vert,3,15,2019,NA,29.61,0.873,NA,N,NA
AY09,APHSAY,A.say1,41.6,12.49,-29.95,10.22,Dry,AH11,Marsh,SRS,vert,3,15,2019,NA,70.29,9.222,NA,N,NA
AY09,APHSAY,A.say1,47.66,14.27,-30.21,10.28,Dry,AH11,Marsh,SRS,vert,3,15,2019,NA,70.29,9.222,NA,N,NA
AY10,APHSAY,A.say1,39.88,11.86,-29.64,9.93,Dry,7A,Marsh,SRS,vert,3,20,2019,NA,66.98,6.196,NA,Y,NA
BB11,BELBEL,B.bel1,43.36,11.45,-30.04,9.93,Dry,AH11,Marsh,SRS,vert,3,13,2019,NA,51.98,1.953,1,N,NA
