Species,Size,Date,Habitat - codes,code,Habitat - Orig,TL,SL,Weight,Specimen,Empty,A. natalis,Centrachidae,Procambarus,Palaemonetes,Misc. Fish,Odonata,Vasc. Plants,Diptera,Aranae,Belo/Naucor,Coleoptera,Ephemoptera,H. azteca,Mollusca,Hemiptera,Hymenoptera,Oligocheata,Green algae,Vasc. Detritus,Misc.,Periphyton,Cladocera,Copepoda,Ostracoda,Mysids,Mites,Collembola,Homoptera,Chironomid,Trichoptera,Det/Alg mix,Misc. Insecta,Argulus sp,Cyprinodont
1,1,1,1,1111,1,20,16,0.04,2662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0
1,1,1,1,1111,1,21,16.5,0.05,2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
1,1,1,1,1111,1,18,14,0.03,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1,1,1,1,1111,1,13.5,11,0.01,2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1111,1,15,12,0.02,2666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1111,1,15.5,13,0.02,2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1111,1,19.5,16.5,0.05,2668,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,7,0,1,0,0,0,0,0
1,1,1,1,1111,1,15,12,0.02,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1111,1,13.5,11,0.01,2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1111,1,13,10.5,0.01,2671,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,1,1,1,1111,1,15.5,12.5,0.02,2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1111,1,20,16,0.07,2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,7,0,0,0,0,10,0,0,0,0,0,0,0
1,1,1,1,1111,1,16.5,13.5,0.04,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0
1,1,1,1,1111,1,17,14,0.03,2675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,4,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1111,1,15,12,0.02,2676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,1,1,1111,1,19,16,0.06,2677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,10,0,0,0,0,0,0,0
1,1,1,1,1111,1,17.5,14,0.04,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,3,6,0,0,0,0,2,2,0,0,0,0,0
1,1,1,1,1111,1,19,15,0.05,2679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2,0,0,0,0,2,4,0,0,0,0,0,0
1,1,1,1,1111,1,19,12.5,0.02,2680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,14,10,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1111,1,19,15.5,0.04,2681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,3,1,0,0,0,0,0
1,1,1,1,1111,1,14,11.5,0.02,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
1,1,1,1,1111,1,18,14,0.03,2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5,13,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1111,1,21.5,16.5,0.07,2684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1,1,1,1,1111,1,21.5,10,0.01,2685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1111,1,21,16.5,0.08,2686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
1,1,1,2,1112,2, ,11.5,0.2,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0
1,1,1,2,1112,2, ,13.5,0.04,25001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0.1,2,0,0,0,0,3,0,0,0,0,0,0,0
1,1,1,2,1112,2, ,12,0.03,25002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0
1,1,1,2,1112,2, ,13.5,0.04,25003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,6,8,0,0,0,0,0,1,0,0,0,0,0
1,1,1,2,1112,2, ,13,0.04,25004,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.1,0.1,2,0,0,0,0,5,0,3,0,0,2,0,0
1,1,1,2,1112,2, ,13,0.04,25005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,1112,2, ,13.5,0.04,25006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,1,0,0,0,1,0,3,0,0,0,0,0
1,1,1,2,1112,2, ,13,0.03,25007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,6,0,0,0,0,0
1,1,1,2,1112,2, ,13.5,0.04,25008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,2,1,0,0,0,3,0,3,0,0,0,0,0
1,1,1,2,1112,2, ,16,0.05,25009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0,0,0,0,0,0,3,0,0,0,0,0
1,1,1,2,1112,2, ,10.5,0.02,25010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,2,0,4,0,0,0,0,0
1,1,1,2,1112,2, ,14,0.04,25011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0
1,1,1,2,1112,2, ,12.5,0.03,25012,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0.1,3,0,0,0,0,2,0,4,0,0,0,0,0
1,1,1,2,1112,2, ,13.5,0.05,25013,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3.1,0,5,1,0,0,0,3,0,15,0,0,0,0,0
1,1,1,2,1112,2, ,15,0.05,25014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,1112,2, ,14.5,0.04,25015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1,1,1,2,1112,2, ,15.5,0.04,25016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0.1,3,0,0,0,0,0,0,2,0,0,0,0,0
1,1,1,2,1112,2, ,16,0.06,25017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,1,0,2,0,0,0,0,0
1,1,1,2,1112,2, ,13,0.03,25018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.1,4,0,0,0,0,5,0,2,0,0,0,0,0
1,1,1,2,1112,2, ,12,0.03,25019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0
1,1,1,2,1112,2, ,13.5,0.04,25020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,0,0,1,0,0
1,1,1,2,1112,2, ,13,0.03,25021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.1,2,0,0,0,0,3,0,1,0,0,0,0,0
1,1,1,2,1112,2, ,15,0.05,25022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.1,12,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,2,1112,2, ,14,0.04,25023,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0
