ID,Diet_Item,Count,Volume,Comments
HP12, Detritus,1,0.02,NA
MC27,-,0,0,only mush in intestine
OA06,-,0,0,only mush; decomposed
MA12,-,0,0,mush 
NP75,-,0,0,empty vial
PL06,-,0,0,no stomach in vial
FC39,-,0,0,no stomach in vial
GH370,-,0,0,empty vial
GH582,-,0,0,no alcohol in vial
CU80,-,0,0,rotten
LMi17,Amphipoda,10,0.03,NA
OA20,Amphipoda,1,0.01,full intestine
LMa24,Amphipoda,23,0.025,NA
EE02,Amphipoda,5,0.003,NA
EE05,Amphipoda,2,0.002,NA
EE08,Amphipoda,2,0.001,NA
EE09,Amphipoda,1,0.001,NA
EE11,Amphipoda,7,0.005,NA
EE12,Amphipoda,3,0.005,NA
EE13,Amphipoda,9,0.005,NA
EE15,Amphipoda,7,0.005,NA
EE20,Amphipoda,1,0.001,NA
EE29,Amphipoda,1,0.001,NA
EE30,Amphipoda,2,0.001,NA
EE33,Amphipoda,1,0.001,NA
EE34,Amphipoda,1,0.001,NA
EE42,Amphipoda,1,0.001,NA
EE55,Amphipoda,1,0.001,NA
EE56,Amphipoda,1,0.001,NA
EE69,Amphipoda,6,0.005,NA
LMa01,Amphipoda,2,0.001,NA
LMa02,Amphipoda,8,0.02,NA
LMa04,Amphipoda,1,0.01,NA
NP73,Amphipoda,1,0.001,NA
LMa10,Amphipoda,4,0.01,NA
LMa12,Amphipoda,11,0.01,NA
LMa16,Amphipoda,13,0.01,NA
LMa32,Amphipoda,8,0.01,NA
FC56,Amphipoda,6,0.01,NA
FC57,Amphipoda,1,0.001,NA
FC187,Amphipoda,1,0.005,NA
FC197,Amphipoda,2,0.01,NA
HF85,Amphipoda,2,0.001,NA
HF96,Amphipoda,1,0.001,NA
HF138,Amphipoda,1,0.001,NA
GH296,Amphipoda,5,0.06,NA
GH298,Amphipoda,2,0.01,NA
GH300,Amphipoda,2,0.01,NA
GH305,Amphipoda,3,0.01,NA
GH311,Amphipoda,2,0.005,NA
GH321,Amphipoda,1,0.001,NA
GH323,Amphipoda,3,0.005,NA
GH400,Amphipoda,1,0.01,NA
GH511,Amphipoda,2,0.05,NA
GH643,Amphipoda,1,0.05,NA
GH699,Amphipoda,1,0.005,NA
GH705,Amphipoda,1,0.005,NA
GH710,Amphipoda,2,0.001,NA
GH714,Amphipoda,2,0.01,NA
GH716,Amphipoda,2,0.01,NA
HM42,Amphipoda,3,0.03,NA
HM69,Amphipoda,1,0.01,NA
CU03,Amphipoda,5,0.05,NA
EG06,Amphipoda,4,0.001,NA
EG11,Amphipoda,1,0.01,NA
EG12,Amphipoda,1,0.005,NA
EG16,Amphipoda,3,0.02,NA
EG18,Amphipoda,3,0.02,NA
EG55,Amphipoda,2,0.03,NA
EG56,Amphipoda,2,0.02,NA
EG60,Amphipoda,3,0.02,NA
EU02,Amphipoda,3,0.02,NA
EU03,Amphipoda,2,0.001,NA
EU05,Amphipoda,3,0.01,NA
EU07,Amphipoda,4,0.005,NA
EU23,Amphipoda,3,0.005,NA
FCo11,Amphipoda,3,0.01,NA
SL12,Amphipoda,1,0.01,NA
LG268,Amphipoda,2,0.005,NA
LG269,Amphipoda,1,0.001,NA
LG270,Amphipoda,2,0.005,NA
LG277,Amphipoda,3,0.005,NA
LG278,Amphipoda,1,0.005,NA
LG281,Amphipoda,2,0.001,NA
LG285,Amphipoda,1,0.001,NA
LG287,Amphipoda,2,0.005,NA
LG286,Amphipoda,3,0.005,NA
LG292,Amphipoda,1,0.001,NA
LG301,Amphipoda,2,0.005,NA
LG302,Amphipoda,3,0.005,NA
LG303,Amphipoda,1,0.005,NA
LG321,Amphipoda,1,0.005,NA
LG329,Amphipoda,2,0.001,NA
LG330,Amphipoda,1,0.001,NA
LG396,Amphipoda,1,0.005,NA
LG404,Amphipoda,1,0.01,NA
LG442,Amphipoda,1,0.001,NA
LG447,Amphipoda,4,0.01,NA
LG455,Amphipoda,1,0.005,NA
LG456,Amphipoda,2,0.001,NA
LG458,Amphipoda,1,0.001,NA
LG462,Amphipoda,2,0.005,NA
LG467,Amphipoda,1,0.001,NA
LG468,Amphipoda,2,0.005,NA
LG470,Amphipoda,4,0.01,NA
LG471,Amphipoda,2,0.005,NA
LG473,Amphipoda,1,0.005,NA
LG479,Amphipoda,1,0.005,NA
LG502,Amphipoda,3,0.001,NA
LG503,Amphipoda,3,0.001,NA
LG504,Amphipoda,1,0.001,NA
LG507,Amphipoda,3,0.001,NA
LG509,Amphipoda,3,0.005,NA
LG512,Amphipoda,4,0.005,NA
LG513,Amphipoda,2,0.001,NA
LG514,Amphipoda,2,0.001,NA
