"","Mode"
"Pre-Invasion.AMENAT",1.53798371902606
"Pre-Invasion.ANISOP",2.02194154474224
"Pre-Invasion.BELSPP",1.96831455899929
"Pre-Invasion.CICURO",0.08205368532261
"Pre-Invasion.ERISUC",4.28434875943127
"Pre-Invasion.FUNCHR",2.3008102010421
"Pre-Invasion.GAMHOL",0.629782637770168
"Pre-Invasion.HETFOR",2.24270317799905
"Pre-Invasion.LEPMAC",1.08305036734482
"Pre-Invasion.LEPMIC",1.45855790616018
"Pre-Invasion.LEPPUN",1.99878816931837
"Pre-Invasion.PALPAL",4.6912790181044
"Pre-Invasion.POELAT",2.52040995901635
"Pre-Invasion.PROFAL",1.42957291153725
"Pre-Invasion.FLOC",0.576331828400194
"Pre-Invasion.Green Algae",1.15666664431045
"Post-Invasion.Green Algae",0.738924870908716
"Post-Invasion.AMENAT",0.792175511758461
"Post-Invasion.BELSPP",3.00280549679225
"Post-Invasion.ANISOP",1.50171849768331
"Post-Invasion.CICURO",1.11147231225162
"Post-Invasion.ERISUC",0.488086310935545
"Post-Invasion.FLOC",1.66122899361362
"Post-Invasion.FUNCHR",0.0969824293803643
"Post-Invasion.GAMHOL",7.40835759586978
"Post-Invasion.HETFOR",1.05162761556685
"Post-Invasion.LEPMAC",0.276692487613397
"Post-Invasion.LEPMIC",0.0648761935443403
"Post-Invasion.LEPPUN",1.21783845418042
"Post-Invasion.PALPAL",0.592938415895825
"Post-Invasion.POELAT",4.56590997714528
"Post-Invasion.PROFAL",1.300602476404
