"Slough","Habitat","Season","Species","2.5%","50%","97.5%"
"SRS","Marsh","Dry","PELFEM",2.007,2.101,2.552
"SRS","Marsh","Dry","CELSPP",2.004,2.116,3.164
"SRS","Marsh","Dry","RANATP",2.019,2.157,2.474
"SRS","Marsh","Dry","PLASCA",2.014,2.218,3.749
"SRS","Marsh","Dry","ERYSIM",2.108,2.41,4.272
"SRS","Marsh","Dry","PERMAT",2.086,2.414,3.885
"SRS","Marsh","Dry","PROALL",2.142,2.482,2.872
"SRS","Marsh","Dry","AMPHIPOD",2.273,2.5,3.336
"SRS","Marsh","Dry","TILMAR",2.188,2.814,3.639
"SRS","Marsh","Dry","PALPAL",2.594,2.966,3.286
"SRS","Marsh","Dry","SIRLAC",2.714,3.187,3.606
"SRS","Marsh","Dry","LUCGOO",2.895,3.222,3.496
"SRS","Marsh","Dry","JORFLO",2.736,3.258,3.776
"SRS","Marsh","Dry","ENNGLO",3.013,3.279,3.595
"SRS","Marsh","Dry","ERISUC",2.879,3.279,3.633
"SRS","Marsh","Dry","NOTVIR",2.269,3.287,5.402
"SRS","Marsh","Dry","GAMHOL",3.062,3.303,3.52
"SRS","Marsh","Dry","HETFOR",3.129,3.4,3.669
"SRS","Marsh","Dry","NOTGYR",3.081,3.43,3.821
"SRS","Marsh","Dry","LEPMAR",2.901,3.488,3.874
"SRS","Marsh","Dry","HOPLIT",2.59,3.516,4.68
"SRS","Marsh","Dry","CICURO",2.954,3.519,4.219
"SRS","Marsh","Dry","ELAEVE",3.171,3.54,3.989
"SRS","Marsh","Dry","FUNCHR",3.057,3.543,4.115
"SRS","Marsh","Dry","APHSAY",2.891,3.561,4.25
"SRS","Marsh","Dry","FUNCON",2.468,3.589,5.434
"SRS","Marsh","Dry","HEMLET",3.399,3.601,5.803
"SRS","Marsh","Dry","LEPPUN",3.328,3.617,3.871
"SRS","Marsh","Dry","NERFLO",2.869,3.687,4.548
"SRS","Marsh","Dry","BELBEL",2.984,3.951,5.486
"SRS","Marsh","Wet","AMPHIPOD",2.012,2.162,2.463
"SRS","Marsh","Wet","COPEPOD",2.006,2.181,3.082
"SRS","Marsh","Wet","PELFEM",2.011,2.183,2.658
"SRS","Marsh","Wet","CELSPP",2.101,2.215,2.393
"SRS","Marsh","Wet","LIBINC",2.007,2.273,4.314
"SRS","Marsh","Wet","COENAG",2.129,2.341,2.747
"SRS","Marsh","Wet","PERMAT",2.012,2.383,7.256
"SRS","Marsh","Wet","BELSPP",2.074,2.395,2.859
"SRS","Marsh","Wet","PROSPP",2.169,2.447,2.807
"SRS","Marsh","Wet","MELTUB",2.157,2.477,2.857
"SRS","Marsh","Wet","PROFAL",2.114,2.516,3.068
"SRS","Marsh","Wet","CHIRON",2.012,2.537,7.139
"SRS","Marsh","Wet","PALPAL",2.791,3.007,3.282
"SRS","Marsh","Wet","JORFLO",2.741,3.12,3.529
"SRS","Marsh","Wet","ELAEVE",2.911,3.122,3.381
"SRS","Marsh","Wet","LUCGOO",3.143,3.314,3.541
"SRS","Marsh","Wet","LEPMAR",2.967,3.349,3.737
"SRS","Marsh","Wet","ERISUC",2.483,3.402,4.29
"SRS","Marsh","Wet","POELAT",3.26,3.44,3.888
"SRS","Marsh","Wet","MACSIA",2.637,3.448,4.576
"SRS","Marsh","Wet","CICURO",3.249,3.499,3.8
"SRS","Marsh","Wet","GAMHOL",3.373,3.543,3.89
"SRS","Marsh","Wet","HETFOR",3.411,3.59,3.854
"SRS","Marsh","Wet","HEMLET",3.412,3.598,3.836
"SRS","Marsh","Wet","ENNGLO",3.291,3.648,4.037
"SRS","Marsh","Wet","OREAUR",3.412,3.713,4.061
"SRS","Marsh","Wet","LEPMIC",3.422,3.718,4.091
"SRS","Marsh","Wet","CLABAT",3.507,3.782,4.113
"SRS","Marsh","Wet","FUNCHR",3.541,3.812,4.092
"SRS","Marsh","Wet","LEPPUN",3.51,3.931,4.428
"SRS","Marsh","Wet","LEPMAC",3.708,3.958,4.282
"SRS","Marsh","Wet","AMENAT",3.342,4.155,4.991
"SRS","Marsh","Wet","SNOOK",4.084,4.336,4.658
"SRS","NP","Dry","PROFAL",2.059,2.207,2.401
"SRS","NP","Dry","PALPAL",2.72,2.892,3.065
"SRS","NP","Dry","POELAT",2.653,2.982,3.275
"SRS","NP","Dry","ENNGLO",2.616,3.009,3.376
"SRS","NP","Dry","LUCGOO",2.906,3.04,3.183
"SRS","NP","Dry","HETFOR",3.047,3.198,3.354
"SRS","NP","Dry","LEPMAR",3.002,3.338,3.68
"SRS","NP","Dry","ELAEVE",3.051,3.348,3.618
"SRS","NP","Dry","GAMHOL",3.236,3.361,3.512
"SRS","NP","Dry","FUNCHR",3.216,3.492,3.751
"SRS","NP","Wet","PELFEM",2.104,2.217,2.33
"SRS","NP","Wet","OSTRACOD",2.012,2.234,3.219
"SRS","NP","Wet","BELSPP",2.332,2.619,2.933
"SRS","NP","Wet","PROFAL",2.401,2.621,2.862
"SRS","NP","Wet","PROSPP",2.536,2.685,2.827
"SRS","NP","Wet","COENAG",2.673,2.849,3.076
"SRS","NP","Wet","PALPAL",2.772,2.993,3.222
"SRS","NP","Wet","ELAEVE",3.358,3.518,3.702
"SRS","NP","Wet","LUCGOO",3.28,3.59,3.944
"SRS","NP","Wet","HEMLET",2.449,3.635,5.126
"SRS","NP","Wet","GAMHOL",3.458,3.642,3.874
"SRS","NP","Wet","SAGLAN",3.177,3.647,5.354
"SRS","NP","Wet","FUNCHR",3.307,3.683,4.075
"SRS","NP","Wet","HETFOR",3.522,3.687,3.87
"SRS","Pond","Dry","CELSPP",2.002,2.07,2.351
"SRS","Pond","Dry","PROALL",2.053,2.27,2.537
"SRS","Pond","Dry","AMPHIPOD",2.086,2.307,2.57
"SRS","Pond","Dry","BLUE",2.025,2.307,2.812
"SRS","Pond","Dry","PROFAL",2.121,2.339,2.605
"SRS","Pond","Dry","EPHEME",2.028,2.358,3.702
"SRS","Pond","Dry","OSTRACOD",2.237,2.49,2.769
"SRS","Pond","Dry","BELSPP",2.178,2.523,3.029
"SRS","Pond","Dry","CLADOCERA",2.239,2.539,2.896
"SRS","Pond","Dry","COPEPOD",2.43,2.601,2.781
"SRS","Pond","Dry","PLASCA",2.217,2.601,3.002
"SRS","Pond","Dry","RANGRY",2.376,2.633,2.923
"SRS","Pond","Dry","BRAGRA",2.412,2.669,2.925
"SRS","Pond","Dry","ALGBAL",2.089,2.934,8.136
"SRS","Pond","Dry","PALPAL",2.871,3.109,3.338
"SRS","Pond","Dry","SIRLAC",2.797,3.126,3.516
"SRS","Pond","Dry","LEPMIC",2.767,3.169,3.652
"SRS","Pond","Dry","CICURO",3.079,3.225,3.4
"SRS","Pond","Dry","POELAT",3.051,3.267,3.502
"SRS","Pond","Dry","JORFLO",3.08,3.282,3.492
"SRS","Pond","Dry","ELAEVE",2.838,3.293,3.784
"SRS","Pond","Dry","FUNCON",3.157,3.345,3.545
"SRS","Pond","Dry","LUCGOO",3.244,3.396,3.564
"SRS","Pond","Dry","HOPLIT",3.238,3.409,3.589
"SRS","Pond","Dry","ERISUC",3.098,3.415,3.781
"SRS","Pond","Dry","LEPMAR",3.25,3.479,3.712
"SRS","Pond","Dry","LEPPUN",3.413,3.606,3.856
"SRS","Pond","Dry","GAMHOL",3.44,3.642,3.884
"SRS","Pond","Dry","HETFOR",3.599,3.771,3.959
"SRS","Pond","Dry","FUNCHR",3.507,3.779,4.092
"SRS","Pond","Dry","LEPGUL",3.621,3.812,4.015
"SRS","Pond","Dry","AMPMEA",2.998,3.822,5.338
"SRS","Pond","Dry","AMENAT",3.64,3.827,4.042
"SRS","Pond","Dry","BELBEL",3.705,4.036,4.401
"SRS","Pond","Dry","LEPPLA",4.122,4.327,4.565
"SRS","Pond","Wet","COPEPOD",2.001,2.03,2.173
"SRS","Pond","Wet","PELFEM",2.006,2.133,2.779
"SRS","Pond","Wet","PEREPI",2.006,2.135,2.884
"SRS","Pond","Wet","BRAGRA",2.024,2.229,2.531
"SRS","Pond","Wet","LIBINC",2.021,2.233,2.806
"SRS","Pond","Wet","ACRIPT",2.014,2.243,3.268
"SRS","Pond","Wet","PROFAL",2.03,2.245,2.665
"SRS","Pond","Wet","AMPHIPOD",2.053,2.273,2.543
"SRS","Pond","Wet","CELSPP",2.31,2.449,2.588
"SRS","Pond","Wet","PACLON",2.077,2.491,3.73
"SRS","Pond","Wet","PROSPP",2.32,2.494,3.996
"SRS","Pond","Wet","COENAG",2.085,2.507,3.029
"SRS","Pond","Wet","PROALL",2.424,2.602,2.805
"SRS","Pond","Wet","TILMAR",2.942,3.158,3.389
"SRS","Pond","Wet","ERISUC",2.961,3.16,3.371
"SRS","Pond","Wet","CORING",2.29,3.171,4.679
"SRS","Pond","Wet","CLAJAM",2.079,3.208,8.462
"SRS","Pond","Wet","LEPMIC",3.048,3.219,3.399
"SRS","Pond","Wet","LEPMAR",3.018,3.223,3.451
"SRS","Pond","Wet","LEPMAC",3.05,3.319,3.612
"SRS","Pond","Wet","CICURO",3.157,3.332,3.526
"SRS","Pond","Wet","MACSIA",3.172,3.357,3.572
"SRS","Pond","Wet","NOTVIR",3.088,3.378,3.731
"SRS","Pond","Wet","MONALB",2.957,3.393,3.897
"SRS","Pond","Wet","OREAUR",3.024,3.401,3.786
"SRS","Pond","Wet","FUNCON",3.205,3.411,3.644
"SRS","Pond","Wet","HEMLET",3.243,3.417,3.601
"SRS","Pond","Wet","ENNGLO",3.273,3.438,3.615
"SRS","Pond","Wet","POELAT",3.307,3.459,3.631
"SRS","Pond","Wet","JORFLO",3.292,3.491,3.72
"SRS","Pond","Wet","LUCGOO",3.361,3.503,3.671
"SRS","Pond","Wet","PALPAL",3.232,3.547,3.881
"SRS","Pond","Wet","CLABAT",2.456,3.627,5.351
"SRS","Pond","Wet","GAMHOL",3.474,3.63,3.795
"SRS","Pond","Wet","AMENAT",3.027,3.651,4.196
"SRS","Pond","Wet","LEPGUL",3.563,3.71,3.884
"SRS","Pond","Wet","LEPPUN",3.528,3.719,3.933
"SRS","Pond","Wet","FUNCHR",3.568,3.782,4.014
"SRS","Pond","Wet","HETFOR",3.596,3.816,4.069
"SRS","Pond","Wet","NOTPET",3.685,3.922,4.173
"SRS","Pond","Wet","AMICAL",3.496,4.101,4.666
"SRS","Pond","Wet","BELBEL",3.126,4.146,5.194
"SRS","Pond","Wet","LEPPLA",4.093,4.311,4.545
"SRS","Pond","Wet","MICSAL",4.142,4.334,4.573
"SRS","Pond","Wet","ELECEL",2.25,5.917,9.706
"TSL","Marsh","Dry","AMPHIPOD",2.007,2.147,2.424
"TSL","Marsh","Dry","PELFEM",2.013,2.189,2.476
"TSL","Marsh","Dry","ERYSIM",2.009,2.272,4.612
"TSL","Marsh","Dry","CLADOCERA",2.042,2.297,2.604
"TSL","Marsh","Dry","COPEPOD",2.069,2.33,2.695
"TSL","Marsh","Dry","CORIXI",2.077,2.337,2.734
"TSL","Marsh","Dry","OSTRACOD",2.082,2.341,2.649
"TSL","Marsh","Dry","CELSPP",2.203,2.4,2.692
"TSL","Marsh","Dry","EPHEME",2.051,2.442,3.158
"TSL","Marsh","Dry","GERRID",2.064,2.483,3.366
"TSL","Marsh","Dry","COENAG",2.345,2.653,3.018
"TSL","Marsh","Dry","BLUE",2.216,2.67,3.162
"TSL","Marsh","Dry","CHIRON",2.607,2.8,3.043
"TSL","Marsh","Dry","PACLON",2.345,2.898,3.531
"TSL","Marsh","Dry","PALPAL",2.927,3.245,3.602
"TSL","Marsh","Dry","LUCGOO",3.127,3.298,3.528
"TSL","Marsh","Dry","GAMHOL",2.705,3.484,4.079
"TSL","Marsh","Dry","HETFOR",3.456,3.69,3.976
"TSL","Marsh","Dry","FUNCHR",3.18,3.769,4.374
"TSL","Marsh","Dry","ENNGLO",3.431,3.818,4.24
"TSL","Marsh","Wet","CELSPP",2.003,2.068,2.544
"TSL","Marsh","Wet","BELSPP",2.004,2.111,2.485
"TSL","Marsh","Wet","AMPHIPOD",2.005,2.117,2.49
"TSL","Marsh","Wet","EPHEME",2.006,2.127,2.932
