"Species","[1] Pre.Invasion.AMENAT.2bf","[2] Pre.Invasion.ANISOP.2bf","[3] Pre.Invasion.BELSPP.2bf","[4] Pre.Invasion.CICURO.2bf","[5] Pre.Invasion.ERISUC.2bf","[6] Pre.Invasion.FUNCHR.2bf","[7] Pre.Invasion.GAMHOL.2bf","[8] Pre.Invasion.HETFOR.2bf","[9] Pre.Invasion.LEPMAC.2bf","[10] Pre.Invasion.LEPMIC.2bf","[11] Pre.Invasion.LEPPUN.2bf","[12] Pre.Invasion.PALPAL.2bf","[13] Pre.Invasion.POELAT.2bf","[14] Pre.Invasion.PROFAL.2bf","[15] Post.Invasion.AMENAT.2bf","[16] Post.Invasion.BELSPP.2bf","[17] Post.Invasion.ANISOP.2bf","[18] Post.Invasion.CICURO.2bf","[19] Post.Invasion.ERISUC.2bf","[20] Post.Invasion.FUNCHR.2bf","[21] Post.Invasion.GAMHOL.2bf","[22] Post.Invasion.HETFOR.2bf","[23] Post.Invasion.LEPMAC.2bf","[24] Post.Invasion.LEPMIC.2bf","[25] Post.Invasion.LEPPUN.2bf","[26] Post.Invasion.PALPAL.2bf","[27] Post.Invasion.POELAT.2bf","[28] Post.Invasion.PROFAL.2bf"
"[1] Pre.Invasion.AMENAT.2bf",0,0.066,0.297,0.52,0.562,0.658,0.598,0.49,0.302,0.627,0.639,0.556,0.252,0.665,0.066,0.06,0.027,0.188,0.064,0.492,0.094,0.03,0.144,0.064,0.09,0.029,0.133,0.318
"[2] Pre.Invasion.ANISOP.2bf",0.934,0,0.89,0.954,0.959,0.99,0.975,0.986,0.845,0.99,0.978,0.99,0.925,0.983,0.561,0.574,0.202,0.826,0.503,0.984,0.768,0.4,0.849,0.485,0.599,0.349,0.513,0.953
"[3] Pre.Invasion.BELSPP.2bf",0.703,0.11,0,0.746,0.756,0.862,0.815,0.769,0.487,0.85,0.832,0.807,0.481,0.853,0.127,0.109,0.043,0.336,0.115,0.765,0.175,0.057,0.29,0.119,0.157,0.048,0.212,0.575
"[4] Pre.Invasion.CICURO.2bf",0.48,0.046,0.254,0,0.518,0.634,0.576,0.45,0.274,0.613,0.616,0.528,0.221,0.651,0.061,0.046,0.025,0.161,0.053,0.447,0.076,0.032,0.118,0.057,0.079,0.026,0.113,0.282
"[5] Pre.Invasion.ERISUC.2bf",0.438,0.041,0.244,0.482,0,0.613,0.557,0.435,0.25,0.587,0.592,0.493,0.204,0.628,0.053,0.042,0.015,0.127,0.044,0.428,0.057,0.019,0.102,0.046,0.073,0.016,0.11,0.25
"[6] Pre.Invasion.FUNCHR.2bf",0.342,0.01,0.138,0.366,0.387,0,0.439,0.291,0.156,0.443,0.49,0.365,0.097,0.527,0.022,0.01,0.005,0.059,0.015,0.276,0.018,0.007,0.035,0.019,0.027,0.004,0.055,0.118
"[7] Pre.Invasion.GAMHOL.2bf",0.402,0.025,0.185,0.424,0.443,0.561,0,0.358,0.198,0.516,0.543,0.434,0.146,0.578,0.03,0.02,0.007,0.096,0.028,0.361,0.035,0.013,0.062,0.026,0.044,0.008,0.078,0.195
"[8] Pre.Invasion.HETFOR.2bf",0.51,0.014,0.231,0.55,0.565,0.709,0.642,0,0.271,0.672,0.671,0.595,0.175,0.709,0.024,0.012,0.008,0.105,0.023,0.49,0.013,0.008,0.048,0.024,0.035,0.002,0.101,0.246
"[9] Pre.Invasion.LEPMAC.2bf",0.698,0.155,0.513,0.726,0.75,0.844,0.802,0.729,0,0.832,0.826,0.777,0.516,0.842,0.196,0.183,0.065,0.388,0.167,0.734,0.257,0.107,0.362,0.173,0.219,0.094,0.252,0.581
"[10] Pre.Invasion.LEPMIC.2bf",0.373,0.01,0.15,0.387,0.413,0.557,0.484,0.328,0.168,0,0.526,0.392,0.097,0.565,0.017,0.008,0.006,0.063,0.013,0.314,0.01,0.004,0.022,0.017,0.021,0.002,0.058,0.15
"[11] Pre.Invasion.LEPPUN.2bf",0.361,0.022,0.168,0.384,0.408,0.51,0.457,0.329,0.174,0.474,0,0.395,0.136,0.558,0.034,0.025,0.013,0.093,0.028,0.323,0.045,0.016,0.061,0.029,0.038,0.012,0.065,0.17
