"Species","d15N","d13C","Sample_Type","Community"
"AMENAT",8.5013,-26.8271,"vert","Pre-Invasion"
"AMENAT",9.1032,-26.5781,"vert","Pre-Invasion"
"AMENAT",9.8101,-25.819,"vert","Pre-Invasion"
"AMENAT",10.1619,-25.5914,"vert","Pre-Invasion"
"AMENAT",10.3429,-25.4589,"vert","Pre-Invasion"
"ANISOP",4.7512,-32.205,"invert","Pre-Invasion"
"ANISOP",5.5026,-31.1277,"invert","Pre-Invasion"
"ANISOP",5.6303,-31.5151,"invert","Pre-Invasion"
"ANISOP",6.0135,-30.3929,"invert","Pre-Invasion"
"ANISOP",6.2028,-30.1499,"invert","Pre-Invasion"
"BELSPP",4.0006,-27.0278,"invert","Pre-Invasion"
"BELSPP",5.2013,-29.2022,"invert","Pre-Invasion"
"BELSPP",5.582,-31.1576,"invert","Pre-Invasion"
"BELSPP",6.1623,-29.683,"invert","Pre-Invasion"
"BELSPP",6.4364,-30.1338,"invert","Pre-Invasion"
"CICURO",7.5905,-27.7929,"vert","Pre-Invasion"
"CICURO",7.9614,-25.9081,"vert","Pre-Invasion"
"CICURO",8.5443,-28.2242,"vert","Pre-Invasion"
"CICURO",8.9039,-26.3684,"vert","Pre-Invasion"
"CICURO",9.0261,-26.7939,"vert","Pre-Invasion"
"ERISUC",7.0189,-26.5319,"vert","Pre-Invasion"
"ERISUC",7.4357,-28.0285,"vert","Pre-Invasion"
"ERISUC",7.5897,-27.0691,"vert","Pre-Invasion"
"ERISUC",7.7047,-26.0735,"vert","Pre-Invasion"
"ERISUC",8.6025,-27.1118,"vert","Pre-Invasion"
"FUNCHR",9.1558,-27.3194,"vert","Pre-Invasion"
"FUNCHR",9.5948,-27.0855,"vert","Pre-Invasion"
"FUNCHR",9.71,-27.0585,"vert","Pre-Invasion"
"FUNCHR",10.3569,-28.044,"vert","Pre-Invasion"
"FUNCHR",10.4582,-27.6974,"vert","Pre-Invasion"
"GAMHOL",9.1563,-26.7771,"vert","Pre-Invasion"
"GAMHOL",9.2655,-24.1853,"vert","Pre-Invasion"
"GAMHOL",9.3035,-26.865,"vert","Pre-Invasion"
"GAMHOL",9.6948,-26.9237,"vert","Pre-Invasion"
"GAMHOL",10.3465,-27.3115,"vert","Pre-Invasion"
"GAMHOL",10.3525,-25.8031,"vert","Pre-Invasion"
"GAMHOL",10.4801,-27.2891,"vert","Pre-Invasion"
"HETFOR",10.2796,-28.6792,"vert","Pre-Invasion"
"HETFOR",10.4107,-28.3769,"vert","Pre-Invasion"
"HETFOR",10.5417,-28.3644,"vert","Pre-Invasion"
"HETFOR",10.6436,-28.3976,"vert","Pre-Invasion"
"HETFOR",11.0241,-28.4555,"vert","Pre-Invasion"
"LEPMAC",8.4593,-15.8775,"vert","Pre-Invasion"
"LEPMAC",8.8418,-28.6629,"vert","Pre-Invasion"
"LEPMAC",9.5679,-24.9556,"vert","Pre-Invasion"
"LEPMAC",9.7003,-25.9853,"vert","Pre-Invasion"
"LEPMAC",9.969,-26.388,"vert","Pre-Invasion"
"LEPMIC",7.3188,-27.8552,"vert","Pre-Invasion"
"LEPMIC",8.1281,-28.1215,"vert","Pre-Invasion"
"LEPMIC",8.9892,-27.9665,"vert","Pre-Invasion"
"LEPMIC",9.522,-28.5626,"vert","Pre-Invasion"
"LEPMIC",9.7775,-27.5066,"vert","Pre-Invasion"
"LEPPUN",9.3577,-27.4949,"vert","Pre-Invasion"
"LEPPUN",9.9021,-26.5215,"vert","Pre-Invasion"
"LEPPUN",10.0624,-26.6716,"vert","Pre-Invasion"
"LEPPUN",10.0944,-26.4807,"vert","Pre-Invasion"
