"ID","MDS1","MDS2","X","size_class","Species","Season","Year","Slough","Site","Habitat"
"AC01",-0.971650939871337,0.31705548806605,1,"A.cal2","AMICAL","Wet",2018,"SRS","37A","Pond"
"AC02",-1.10329732720388,-0.174959080472051,2,"A.cal2","AMICAL","Wet",2018,"SRS","7C","Pond"
"AC03",-1.40310997674003,-0.187169666509515,3,"A.cal2","AMICAL","Wet",2018,"SRS","7C","Pond"
"AC04",-1.4540488300474,-0.211346367584508,4,"A.cal2","AMICAL","Wet",2018,"SRS","8B","Marsh"
"AG01",-0.142539507948863,-0.412560912170156,6,"A.ros1","ANGROS","Wet",2018,"TSL","AH02","Pond"
"AN01",-0.361813134656602,-0.122103174931639,7,"A.nat2","AMENAT","Wet",2018,"SRS","8A","Marsh"
"AN03",-0.43380651016147,-0.237485975464694,8,"A.nat3","AMENAT","Wet",2018,"SRS","LJB","Pond"
"AN06",-1.10329732720388,-0.174959080472051,11,"A.nat1","AMENAT","Dry",2019,"SRS","AH13","Pond"
"AN07",-0.660526980903899,-0.582815708765006,12,"A.nat1","AMENAT","Dry",2019,"SRS","7A","Marsh"
"AN08",-0.681566885057658,1.69153404180989,13,"A.nat2","AMENAT","Dry",2019,"SRS","AHWG16","Pond"
"AN09",0.0208893607139368,1.24025575117609,14,"A.nat4","AMENAT","Dry",2019,"SRS","AHWG16","Pond"
"AN10",-0.748291962974461,0.26207502543759,15,"A.nat1","AMENAT","Dry",2019,"SRS","AHCFPB","Pond"
"AN11",-0.26764285564565,0.385768925511222,16,"A.nat2","AMENAT","Dry",2019,"SRS","AHCFPB","Pond"
"AN12",-0.26764285564565,0.385768925511222,17,"A.nat2","AMENAT","Dry",2019,"SRS","AHCFPB","Pond"
"AN13",-0.26764285564565,0.385768925511222,18,"A.nat2","AMENAT","Dry",2019,"SRS","AHCFPB","Pond"
"AN14",-0.26764285564565,0.385768925511222,19,"A.nat3","AMENAT","Dry",2019,"SRS","AHCFPB","Pond"
