"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"post.covariates.no.zero$size_class",64,175.254661954219,2.73835409303468,10.6230950911105,0.299443179158361,0.000999000999000999
"post.covariates.no.zero$Season",1,5.55141645060263,5.55141645060263,21.5360113562786,0.00948524719550523,0.000999000999000999
"post.covariates.no.zero$Slough",1,2.4078246614315,2.4078246614315,9.3408483607616,0.00411405130930724,0.000999000999000999
"post.covariates.no.zero$Habitat",2,4.26170158734539,2.13085079367269,8.26636360276823,0.00728161783378004,0.000999000999000999
"post.covariates.no.zero$size_class:post.covariates.no.zero$Season",41,27.5509556632026,0.671974528370794,2.60683939007178,0.0470740444827397,0.000999000999000999
"post.covariates.no.zero$size_class:post.covariates.no.zero$Slough",23,15.5753971106916,0.67719117872572,2.62707671910034,0.0266123957872103,0.000999000999000999
"post.covariates.no.zero$Season:post.covariates.no.zero$Slough",1,0.513660937839717,0.513660937839717,1.99268202791596,0.000877650058041648,0.041958041958042
"post.covariates.no.zero$size_class:post.covariates.no.zero$Habitat",43,18.9913055340832,0.441658268234493,1.71335686395134,0.0324488766351858,0.000999000999000999
"post.covariates.no.zero$Season:post.covariates.no.zero$Habitat",2,5.72280873297743,2.86140436648871,11.1004529168257,0.00977809104539336,0.000999000999000999
"post.covariates.no.zero$Slough:post.covariates.no.zero$Habitat",2,1.30260125959182,0.651300629795912,2.52663764004114,0.00222564728377812,0.000999000999000999
"post.covariates.no.zero$size_class:post.covariates.no.zero$Season:post.covariates.no.zero$Slough",8,2.89940987215977,0.362426234019971,1.4059863029768,0.00495398239408578,0.014985014985015
"post.covariates.no.zero$size_class:post.covariates.no.zero$Season:post.covariates.no.zero$Habitat",18,6.95067425739614,0.386148569855341,1.49801407615756,0.0118760435455496,0.000999000999000999
"post.covariates.no.zero$size_class:post.covariates.no.zero$Slough:post.covariates.no.zero$Habitat",13,4.4170718955653,0.339774761197331,1.31811280613405,0.00754708625853635,0.00899100899100899
"post.covariates.no.zero$Season:post.covariates.no.zero$Slough:post.covariates.no.zero$Habitat",1,0.415784708111971,0.415784708111971,1.612983690801,0.000710417020889311,0.121878121878122
"post.covariates.no.zero$size_class:post.covariates.no.zero$Season:post.covariates.no.zero$Slough:post.covariates.no.zero$Habitat",4,1.80487699388976,0.451219248472441,1.75044746610914,0.00308384438401597,0.003996003996004
"Residuals",1209,311.648353901052,0.257773659140655,NA,0.532487825607621,NA
"Total",1433,585.26850552016,NA,NA,1,NA
