"Slough","Habitat","Size Class","Wet","Dry","Dry < Wet","Percent Change"
"SRS","Pond","F.chr1",0.45,0.71,0.92,-36.5
"SRS","Pond","G.hol1",0.33,0.64,0.97,-48.66
"SRS","Pond","G.hol2",0.36,0.96,1,-62.39
"SRS","Pond","H.for1",0.08,0.14,0.84,-37.69
"SRS","Pond","H.for2",0.1,0.03,0.06,190.05
"SRS","Pond","L.goo1",0.08,0.1,0.74,-21.31
"SRS","Pond","L.goo2",0.31,0.18,0.04,66.39
"SRS","Pond","L.gul2",1.39,0.32,0,328.36
"SRS","Pond","L.gul3",0.76,0.57,0.28,34.48
"SRS","Pond","L.gul4",0.55,0.28,0.16,94.31
"SRS","Pond","L.pla1",0.91,0.58,0.17,56.44
"SRS","Pond","L.pun2",0.47,0.28,0.28,69.03
"SRS","Pond","P.lat2",0.08,0.26,0.99,-70.97
