"","mode"
"SRS_Marsh_Dry.C.uro1",0.00287796240701946
"SRS_Marsh_Dry.E.eve1",0.0759480777065193
"SRS_Marsh_Dry.E.glo1",0.331137433863635
"SRS_Marsh_Dry.E.suc1",0.156903710733697
"SRS_Marsh_Dry.F.chr1",0.422570716195717
"SRS_Marsh_Dry.G.hol1",0.0568121672936396
"SRS_Marsh_Dry.G.hol2",0.0552945407860964
"SRS_Marsh_Dry.H.for2",0.0167982304932825
"SRS_Marsh_Dry.H.let1",0.531135246025056
"SRS_Marsh_Dry.H.lit1",0.14129055506046
"SRS_Marsh_Dry.L.goo1",0.00548991936837034
"SRS_Marsh_Dry.L.goo2",0.149736954252427
"SRS_Marsh_Dry.L.mar1",0.254738730290477
"SRS_Marsh_Dry.L.pun2",0.444339684651091
"SRS_Marsh_Dry.R.gry1",0.210668110602683
"SRS_Marsh_Dry.S.lac1",0.040537763176724
"SRS_Marsh_Wet.C.bat1",0.762342997135431
"SRS_Marsh_Wet.C.und1",0.4557008368093
"SRS_Marsh_Wet.C.uro1",0.00226065951541327
"SRS_Marsh_Wet.C.uro2",0.20908540227225
"SRS_Marsh_Wet.E.suc1",0.0829371540201175
"SRS_Marsh_Wet.F.chr1",0.65009990198047
"SRS_Marsh_Wet.G.hol1",0.105885763009468
"SRS_Marsh_Wet.G.hol2",0.387803204281546
"SRS_Marsh_Wet.H.for1",0.172000928115997
"SRS_Marsh_Wet.H.for2",0.0613815708793111
"SRS_Marsh_Wet.H.let1",0.196940433050801
"SRS_Marsh_Wet.J.flo1",0.0624745355036436
"SRS_Marsh_Wet.L.goo1",0.0823304403065841
"SRS_Marsh_Wet.L.goo2",0.184268226487791
"SRS_Marsh_Wet.L.mac1",0.726962183672348
"SRS_Marsh_Wet.L.mic1",0.000146189029230262
"SRS_Marsh_Wet.L.mic2",9.88099410035575e-05
"SRS_Marsh_Wet.L.pun2",0.513815240257124
"SRS_Marsh_Wet.O.aur1",0.209152327010401
"SRS_NP_Dry.F.chr1",1.51286063926752
"SRS_NP_Dry.G.hol1",0.000840737406333066
"SRS_NP_Dry.G.hol2",0.0688862168868191
"SRS_NP_Dry.H.for1",0.000367822123744401
"SRS_NP_Dry.H.for2",9.49788009757691e-05
"SRS_NP_Dry.L.goo1",0.000462725963873427
"SRS_NP_Dry.L.goo2",0.158277147044857
"SRS_NP_Dry.P.lat2",0.076372645795415
"SRS_NP_Wet.E.eve1",0.580063375097089
"SRS_NP_Wet.G.hol1",0.0430816403911278
"SRS_NP_Wet.G.hol2",0.182237281391068
"SRS_NP_Wet.H.for1",0.182916322636804
"SRS_NP_Wet.H.for2",0.106901452067893
"SRS_Pond_Dry.A.nat1",0.239380869187227
"SRS_Pond_Dry.A.nat2",0.233973049246444
"SRS_Pond_Dry.A.nat3",0.211825424955552
"SRS_Pond_Dry.A.nat4",0.208245464424068
"SRS_Pond_Dry.E.suc2",0.0888218732154759
"SRS_Pond_Dry.F.chr1",0.710021384561078
"SRS_Pond_Dry.G.hol1",0.635258069587746
"SRS_Pond_Dry.G.hol2",0.964109092960862
"SRS_Pond_Dry.H.for1",0.135978809229066
"SRS_Pond_Dry.H.for2",0.0342901135866363
"SRS_Pond_Dry.H.lit1",0.03163787418538
"SRS_Pond_Dry.J.flo2",0.514414556942216
"SRS_Pond_Dry.L.goo1",0.102453946539477
"SRS_Pond_Dry.L.goo2",0.183586809366121
"SRS_Pond_Dry.L.gul2",0.323960465849947
"SRS_Pond_Dry.L.gul3",0.567654067945087
"SRS_Pond_Dry.L.gul4",0.283972653884148
"SRS_Pond_Dry.L.mar1",0.351868908573291
"SRS_Pond_Dry.L.pla1",0.582888219887732
"SRS_Pond_Dry.L.pun2",0.280022239999003
"SRS_Pond_Dry.P.lat2",0.259749212280012
