"","SRS_Marsh_Dry","SRS_Marsh_Wet","SRS_NP_Dry","SRS_NP_Wet","SRS_Pond_Dry","SRS_Pond_Wet","TSL_Marsh_Dry","TSL_Marsh_Wet","TSL_NP_Wet","TSL_Pond_Dry","TSL_Pond_Wet"
"A.cal2",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"A.nat1",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"A.nat2",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"A.nat3",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
"A.nat4",NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"C.bat1",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C.bim1",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
"C.und1",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C.uro1",4,15,NA,NA,NA,6,NA,NA,NA,NA,NA
"C.uro2",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E.eve1",8,NA,NA,19,NA,7,NA,NA,3,NA,NA
"E.glo1",5,NA,NA,NA,NA,3,9,NA,NA,NA,NA
"E.suc1",4,3,NA,NA,NA,5,NA,NA,NA,NA,NA
"E.suc2",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"F.chr1",9,14,5,NA,11,23,5,10,NA,NA,NA
"G.hol1",6,18,9,4,16,18,NA,17,7,26,13
"G.hol2",5,18,11,3,27,21,NA,15,NA,23,19
"H.for1",NA,8,4,6,5,9,13,11,11,NA,NA
"H.for2",5,5,5,5,5,3,10,5,4,3,3
"H.let1",33,24,NA,NA,NA,14,NA,NA,NA,NA,NA
"H.lit1",3,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"J.flo1",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J.flo2",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"L.goo1",18,16,7,NA,22,20,24,18,9,4,20
"L.goo2",25,16,7,NA,23,19,27,17,5,9,20
"L.gul2",NA,NA,NA,NA,9,4,NA,NA,NA,NA,NA
"L.gul3",NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA
"L.gul4",NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA
"L.mac1",NA,17,NA,NA,NA,6,NA,NA,NA,NA,5
"L.mar1",3,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
"L.mic1",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L.mic2",NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA
"L.pla1",NA,NA,NA,NA,11,13,NA,NA,NA,NA,NA
"L.pla2",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"L.pun2",7,3,NA,NA,4,7,NA,NA,NA,NA,NA
"L.sic1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"M.ber1",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"M.sal1",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,18
"M.sia1",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,11
"N.pet1",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,10
"O.aur1",NA,10,NA,NA,NA,4,NA,NA,NA,NA,NA
"P.lat1",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"P.lat2",NA,NA,5,NA,6,8,NA,NA,NA,NA,NA
"R.gry1",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S.lac1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T.mar1",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,10
