"","size_class","SRS_Marsh_Wet","SRS_NP_Wet","SRS_Pond_Wet","SRS_Marsh_Dry","SRS_NP_Dry","SRS_Pond_Dry","TSL_Marsh_Wet","TSL_NP_Wet","TSL_Pond_Wet","TSL_Marsh_Dry","TSL_Pond_Dry"
"1","A.cal2",1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"2","A.gry1",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"3","A.nat1",NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA
"4","A.nat2",1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
"5","A.nat3",NA,NA,3,NA,NA,6,NA,NA,NA,NA,NA
"6","A.nat4",2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
"7","A.ros1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"8","A.say1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"9","B.bel1",NA,NA,3,1,NA,2,NA,1,1,1,NA
"10","C.bat1",10,NA,3,NA,NA,1,1,NA,1,NA,NA
"11","C.bim1",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"12","C.man1",NA,NA,NA,NA,NA,1,NA,1,1,NA,NA
"13","C.oce1",1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"14","C.und1",3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"15","C.uro1",16,NA,6,4,NA,NA,1,2,2,NA,NA
"16","C.uro2",6,NA,3,NA,NA,1,1,NA,6,NA,NA
"17","C.var1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","E.ame1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"19","E.eve1",4,24,13,10,NA,1,1,3,NA,1,2
"20","E.glo1",1,NA,3,5,NA,NA,NA,2,NA,9,NA
"21","E.suc1",3,NA,5,4,NA,2,NA,NA,NA,NA,NA
"22","E.suc2",NA,NA,6,NA,NA,4,NA,NA,NA,NA,NA
"23","F.chr1",14,1,23,10,5,13,11,1,NA,5,NA
"24","F.chr2",NA,NA,1,1,NA,2,NA,1,NA,NA,NA
"25","F.con1",NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA
"26","G.hol1",19,4,18,7,9,16,17,7,13,1,27
"27","G.hol2",18,3,21,5,11,29,16,1,19,2,25
"28","H.for1",8,8,9,1,4,8,14,11,NA,13,NA
"29","H.for2",5,5,3,5,5,5,5,4,3,10,3
"30","H.let1",25,NA,15,35,NA,NA,NA,NA,NA,NA,NA
"31","H.lit1",1,NA,NA,5,NA,11,NA,NA,NA,NA,NA
"32","J.flo1",3,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"33","J.flo2",1,NA,1,1,NA,3,NA,NA,NA,NA,NA
"34","L.goo1",19,NA,20,18,7,25,18,9,20,25,4
"35","L.goo2",16,1,19,25,7,25,17,5,20,27,9
"36","L.gul1",NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA
"37","L.gul2",NA,NA,7,NA,NA,11,NA,NA,NA,NA,NA
"38","L.gul3",1,NA,19,NA,NA,11,NA,NA,1,NA,NA
"39","L.gul4",NA,NA,7,NA,NA,7,NA,NA,NA,NA,NA
"40","L.mac1",17,NA,7,NA,NA,2,NA,NA,5,NA,NA
"41","L.mar1",NA,NA,3,3,NA,9,NA,NA,1,NA,NA
"42","L.mic1",3,NA,2,1,NA,NA,NA,NA,2,NA,NA
"43","L.mic2",4,NA,5,NA,NA,NA,NA,NA,1,NA,NA
"44","L.pla1",NA,NA,16,NA,NA,21,NA,NA,1,NA,NA
"45","L.pla2",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"46","L.pun2",3,NA,7,7,NA,4,NA,NA,NA,NA,NA
"47","L.pun3",NA,NA,2,1,NA,3,NA,NA,NA,NA,NA
"48","L.sic1",NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA
"49","M.alb1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"50","M.alb2",NA,NA,NA,NA,NA,NA,1,NA,3,1,NA
"51","M.alb3",1,NA,1,NA,NA,NA,2,NA,1,NA,NA
"52","M.alb4",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"53","M.ber1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"54","M.sal1",1,NA,14,NA,NA,1,NA,NA,25,NA,NA
"55","M.sia1",5,NA,25,NA,NA,NA,NA,NA,50,NA,NA
"56","N.flo1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"57","N.gyr1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"58","N.pet1",NA,NA,3,NA,NA,NA,4,NA,15,NA,16
"59","N.vir1",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"60","O.aur1",18,NA,5,1,NA,NA,NA,NA,1,NA,NA
"61","P.axa1",1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"62","P.lat1",NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA
"63","P.lat2",2,NA,8,2,5,6,NA,NA,2,NA,NA
"64","R.gry1",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
"65","R.gry2",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"66","S.lac1",1,NA,1,3,NA,2,NA,NA,NA,NA,NA
"67","T.mar1",NA,NA,5,5,NA,NA,NA,NA,12,NA,NA
