size_class,Invasion_Status,Habitat,Season,N,Length,Wet_Weight,Amphipoda,Araneae,Argulus,Belo.Naucor,Centrarchid,Chironomid,Cladocera,Coleoptera,Collembola,Copepoda,Cyprinodontid,Detritus,Diptera,Ephemeroptera,Green.Algae,Hemiptera,Hydrachnidia,Hymenoptera,Misc,Misc.Fish,Misc.Invert,Mollusca,Odonata,Oligochaeta,Ostracoda,Palaemonetes,Periphyton,Procambarus,Trichoptera,Vasc.Plant
A.cal2,Post-Invasion,Marsh,Wet,1,421± NA,1700± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.5± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0.5± NA,0± NA,0± NA
A.cal2,Pre-Invasion,Marsh,Wet,1,0± NA,1150± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,1± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA,0± NA
A.cal2,Pre-Invasion,Pond,Dry,18,0± 0,1362.99± 974.65,0± 0,0± 0,0± 0,0± 0,0.52± 0.48,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.05± 0.14,0± 0,0.01± 0.05,0± 0,0± 0,0± 0,0± 0,0± 0,0.16± 0.34,0± 0,0± 0,0.06± 0.18,0± 0,0± 0,0.19± 0.3,0± 0,0± 0,0± 0,0± 0
A.cal2,Post-Invasion,Pond,Wet,4,435± 42.03,1450± 488.19,0± 0,0± 0,0± 0,0.12± 0.25,0.25± 0.5,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.06± 0.12,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.41± 0.45,0± 0,0± 0,0± 0,0± 0,0± 0,0.16± 0.31,0± 0,0± 0,0± 0,0± 0
A.gry1,Post-Invasion,Pond,Wet,2,12.53± 5.08,0.42± 0.48,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.29± 0.06,0± 0,0± 0,0.17± 0.24,0± 0,0± 0,0± 0,0± 0,0± 0,0.25± 0.35,0± 0,0± 0,0± 0,0± 0,0± 0,0.29± 0.06,0± 0,0± 0,0± 0
A.nat1,Post-Invasion,Marsh,Dry,2,87.33± 7.53,17.39± 5.79,0± 0,0± 0,0± 0,0.5± 0.71,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.12± 0.18,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.12± 0.18,0.12± 0.18,0.12± 0.18,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
A.nat1,Pre-Invasion,Marsh,Dry,27,60.54± 9.08,5.05± 2.32,0.04± 0.09,0± 0,0± 0,0.02± 0.07,0± 0,0.02± 0.08,0.03± 0.12,0.01± 0.06,0± 0,0.05± 0.1,0.02± 0.1,0.1± 0.24,0.02± 0.1,0.01± 0.03,0± 0,0.02± 0.1,0± 0.02,0± 0,0.04± 0.13,0.06± 0.18,0± 0,0.02± 0.1,0.05± 0.13,0± 0,0.01± 0.06,0.49± 0.41,0± 0,0± 0,0± 0,0± 0
A.nat1,Pre-Invasion,Marsh,Wet,26,56.94± 18.35,6.64± 4.91,0.15± 0.22,0± 0,0± 0,0.01± 0.04,0± 0,0.08± 0.1,0.2± 0.23,0.01± 0.02,0± 0,0.06± 0.09,0± 0,0.04± 0.2,0± 0,0.01± 0.03,0± 0,0.01± 0.02,0± 0,0± 0,0± 0,0.02± 0.05,0± 0,0.12± 0.18,0.05± 0.1,0± 0,0.14± 0.14,0.01± 0.03,0.06± 0.21,0± 0.01,0.04± 0.11,0± 0
A.nat1,Post-Invasion,Pond,Dry,3,82.6± 6.84,12.2± 1.38,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.5± 0.5,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.5± 0.5,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0
A.nat1,Pre-Invasion,Pond,Dry,43,76.49± 8.42,9.6± 3.6,0.02± 0.08,0± 0,0± 0,0± 0,0± 0,0± 0.03,0± 0,0± 0,0± 0,0.01± 0.04,0.05± 0.18,0.72± 0.36,0± 0,0± 0,0± 0,0± 0,0± 0,0± 0,0.02± 0.1,0.01± 0.08,0.02± 0.08,0± 0,0± 0,0± 0,0± 0,0.16± 0.27,0± 0,0± 0,0± 0,0± 0
