"","Mode"
"Marsh_Dry_Post-Invasion.C_uro1",0.0160798170058938
"Marsh_Dry_Post-Invasion.E_eve1",0.184240687070164
"Marsh_Dry_Post-Invasion.E_glo1",0.12536930488186
"Marsh_Dry_Post-Invasion.E_suc1",0.400164614367636
"Marsh_Dry_Post-Invasion.F_chr1",0.231996623646176
"Marsh_Dry_Post-Invasion.G_hol1",0.446446676510025
"Marsh_Dry_Post-Invasion.G_hol2",0.136761345985017
"Marsh_Dry_Post-Invasion.H_for2",0.0819086510494952
"Marsh_Dry_Post-Invasion.H_let1",0.546578455058454
"Marsh_Dry_Post-Invasion.H_lit1",0.140474762375441
"Marsh_Dry_Post-Invasion.L_goo1",0.0278996663506459
"Marsh_Dry_Post-Invasion.L_goo2",0.110318697721601
"Marsh_Dry_Post-Invasion.L_mar1",0.269177394862627
"Marsh_Dry_Post-Invasion.L_pun2",0.299350148106685
"Marsh_Dry_Post-Invasion.R_gry1",0.182645676079742
"Marsh_Dry_Post-Invasion.S_lac1",0.0622148484316527
"Marsh_Dry_Pre-Invasion.A_nat1",0.550627946137261
"Marsh_Dry_Pre-Invasion.C_var1",0.095141062012739
"Marsh_Dry_Pre-Invasion.E_eve1",0.0566239115971617
"Marsh_Dry_Pre-Invasion.E_glo1",0.0395155227918687
"Marsh_Dry_Pre-Invasion.F_chr1",0.39899913769615
"Marsh_Dry_Pre-Invasion.F_chr2",0.904427476187113
"Marsh_Dry_Pre-Invasion.F_con1",0.319226538331124
"Marsh_Dry_Pre-Invasion.F_con2",0.454676798962419
"Marsh_Dry_Pre-Invasion.G_hol1",0.0906564933178532
"Marsh_Dry_Pre-Invasion.G_hol2",0.222091740271477
"Marsh_Dry_Pre-Invasion.H_for1",0.04677094006679
"Marsh_Dry_Pre-Invasion.H_for2",0.0660460301333036
"Marsh_Dry_Pre-Invasion.J_flo1",0.0839328297115735
"Marsh_Dry_Pre-Invasion.J_flo2",0.144775641657315
"Marsh_Dry_Pre-Invasion.L_goo1",0.0330003961939705
"Marsh_Dry_Pre-Invasion.L_goo2",0.0457488450413396
"Marsh_Dry_Pre-Invasion.L_mar1",0.0288217873862579
"Marsh_Dry_Pre-Invasion.L_pun1",0.223080687517802
"Marsh_Dry_Pre-Invasion.L_pun2",0.59498814990385
"Marsh_Dry_Pre-Invasion.N_gyr1",0.526206436395842
"Marsh_Dry_Pre-Invasion.P_lat2",0.0576809105595694
"Marsh_Wet_Post-Invasion.C_bat1",0.507030658129374
"Marsh_Wet_Post-Invasion.C_und1",0.488737586415279
"Marsh_Wet_Post-Invasion.C_uro1",0.00851543370766552
"Marsh_Wet_Post-Invasion.C_uro2",0.165744652657774
"Marsh_Wet_Post-Invasion.E_suc1",0.05622280671754
"Marsh_Wet_Post-Invasion.F_chr1",1.04579265236736
"Marsh_Wet_Post-Invasion.G_hol1",0.366069714855094
"Marsh_Wet_Post-Invasion.G_hol2",1.0898760476708
"Marsh_Wet_Post-Invasion.H_for1",0.327562930523959
"Marsh_Wet_Post-Invasion.H_for2",0.151703682036553
"Marsh_Wet_Post-Invasion.H_let1",0.26674623108435
"Marsh_Wet_Post-Invasion.J_flo1",0.0166120429069749
"Marsh_Wet_Post-Invasion.L_goo1",0.143550026597195
"Marsh_Wet_Post-Invasion.L_goo2",0.353155475923446
"Marsh_Wet_Post-Invasion.L_mac1",0.715119501821044
"Marsh_Wet_Post-Invasion.L_mic1",0.00535274548374311
"Marsh_Wet_Post-Invasion.L_mic2",0.00241040578273392
"Marsh_Wet_Post-Invasion.L_pun2",0.251254868305218
"Marsh_Wet_Post-Invasion.O_aur1",0.090592736775479
"Marsh_Wet_Pre-Invasion.A_nat1",0.440601939538051
