"","ID","size_class","Species","Season","Year","Slough","Site","Habitat","Length","Wet_Weight","Sex","Amphipoda","Araneae","Argulus","Belo/Naucor","Centrarchid","Chironomid","Cladocera","Coleoptera","Collembola","Copepoda","Cyprinodontid","Detritus","Diptera","Empty","Ephemeroptera","Green Algae","Hemiptera","Hydrachnidia","Hymenoptera","Misc","Misc Fish","Misc Invert","Mollusca","Odonata","Oligochaeta","Ostracoda","Palaemonetes","Periphyton","Procambarus","Trichoptera","Vasc Plant"
"1","AC01","A.cal2","AMICAL","Wet",2018,"SRS","37A","Pond",420,1250,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0
"2","AC02","A.cal2","AMICAL","Wet",2018,"SRS","7C","Pond",390,950,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3","AC03","A.cal2","AMICAL","Wet",2018,"SRS","7C","Pond",440,1500,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4","AC04","A.cal2","AMICAL","Wet",2018,"SRS","8B","Marsh",421,1700,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"5","AC05","A.cal2","AMICAL","Wet",2018,"SRS","AHWG16","Pond",490,2100,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","AG01","A.ros1","ANGROS","Wet",2018,"TSL","AH02","Pond",180,9.14,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
"7","AN01","A.nat2","AMENAT","Wet",2018,"SRS","8A","Marsh",128.95,49.348,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,3,0,0,1,0,0,0,0
"8","AN03","A.nat3","AMENAT","Wet",2018,"SRS","LJB","Pond",150,79.492,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,0,0,2,0,0,0,0
"9","AN04","A.nat3","AMENAT","Wet",2018,"SRS","6B","Pond",170,102.95,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","AN05","A.nat3","AMENAT","Wet",2018,"SRS","6B","Pond",175,155.763,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
