"","size_class","Invasion_Status","Habitat","Season","Length","Wet_Weight","X","Amphipoda","Araneae","Argulus","Belo.Naucor","Centrarchid","Chironomid","Cladocera","Coleoptera","Collembola","Copepoda","Cyprinodontid","Detritus","Diptera","Ephemeroptera","Green.Algae","Hemiptera","Hydrachnidia","Hymenoptera","Misc","Misc.Fish","Misc.Invert","Mollusca","Odonata","Oligochaeta","Ostracoda","Palaemonetes","Periphyton","Procambarus","Trichoptera","Vasc.Plant"
"AC01","A.cal2","Post-Invasion","Pond","Wet",420,1250,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0
"AC02","A.cal2","Post-Invasion","Pond","Wet",390,950,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC03","A.cal2","Post-Invasion","Pond","Wet",440,1500,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC04","A.cal2","Post-Invasion","Marsh","Wet",421,1700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"AC05","A.cal2","Post-Invasion","Pond","Wet",490,2100,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN01","A.nat2","Post-Invasion","Marsh","Wet",128.95,49.348,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,3,0,0,1,0,0,0,0
"AN03","A.nat3","Post-Invasion","Pond","Wet",150,79.492,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,0,0,2,0,0,0,0
"AN06","A.nat1","Post-Invasion","Pond","Dry",77.44,10.835,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AN07","A.nat1","Post-Invasion","Marsh","Dry",82,13.293,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"AN08","A.nat2","Post-Invasion","Pond","Dry",134,83.349,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN09","A.nat4","Post-Invasion","Pond","Dry",180,135.159,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"AN10","A.nat1","Post-Invasion","Pond","Dry",80.01,13.592,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AN11","A.nat2","Post-Invasion","Pond","Dry",116,46.582,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN12","A.nat2","Post-Invasion","Pond","Dry",107,34.58,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN13","A.nat2","Post-Invasion","Pond","Dry",114,39.521,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN14","A.nat3","Post-Invasion","Pond","Dry",148,79.21,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
