"","mode"
"SRS_Edge_Dry.H.let1",0.345140822862715
"SRS_Edge_Dry.L.pun1",1.34045714697329
"SRS_Marsh_Dry.A.say1",2.3297999889787
"SRS_Marsh_Dry.B.bel1",0.449243497606785
"SRS_Marsh_Dry.C.uro1",1.32607617894189
"SRS_Marsh_Dry.CELSPP",0.804275692948549
"SRS_Marsh_Dry.E.eve1",1.92075613261184
"SRS_Marsh_Dry.E.glo1",2.73374576065603
"SRS_Marsh_Dry.E.suc1",0.797601586130878
"SRS_Marsh_Dry.ERYSIM",0.568171892641381
"SRS_Marsh_Dry.F.chr1",4.35701840125454
"SRS_Marsh_Dry.F.chr2",3.29054197819983
"SRS_Marsh_Dry.F.con1",3.31989934359635
"SRS_Marsh_Dry.FLOC",0.544219020044298
"SRS_Marsh_Dry.G.hol1",0.804617872073443
"SRS_Marsh_Dry.G.hol2",2.03270900060372
"SRS_Marsh_Dry.H.for2",2.29567227503118
"SRS_Marsh_Dry.H.let1",1.90266409076051
"SRS_Marsh_Dry.H.lit1",2.47794679005849
"SRS_Marsh_Dry.J.flo2",2.2682803461933
"SRS_Marsh_Dry.L.goo1",2.56604234371087
"SRS_Marsh_Dry.L.goo2",2.66797309501628
"SRS_Marsh_Dry.L.mar1",2.02796582265723
"SRS_Marsh_Dry.L.pun2",1.307565720144
"SRS_Marsh_Dry.N.flo1",2.83292793585358
"SRS_Marsh_Dry.N.gyr1",0.184715096988013
"SRS_Marsh_Dry.N.vir1",3.53415987987728
"SRS_Marsh_Dry.PALPAL",0.412387893878791
"SRS_Marsh_Dry.PELFEM",1.15881465106864
"SRS_Marsh_Dry.PERMAT",1.00187590053556
"SRS_Marsh_Dry.PLASCA",5.9501955658149
"SRS_Marsh_Dry.PROALL",1.8769894527435
"SRS_Marsh_Dry.R.gry1",2.65843097331919
"SRS_Marsh_Dry.S.lac1",2.23450618274473
"SRS_Marsh_Dry.T.mar1",4.86046309135837
"SRS_Marsh_Wet.A.nat4",0.946186295402514
"SRS_Marsh_Wet.BELSPP",2.03422426572055
"SRS_Marsh_Wet.C.bat1",3.61000387704917
"SRS_Marsh_Wet.C.und1",0.207790293772131
"SRS_Marsh_Wet.C.uro1",3.76852317100666
"SRS_Marsh_Wet.C.uro2",2.34716274352129
"SRS_Marsh_Wet.CELSPP",0.0809520210407238
"SRS_Marsh_Wet.CHIRON",5.24201424251944
"SRS_Marsh_Wet.COENAG",0.674666449610595
"SRS_Marsh_Wet.COPEPOD",2.39266766261776
"SRS_Marsh_Wet.E.eve1",0.631066598647611
"SRS_Marsh_Wet.E.glo1",1.47231924333316
"SRS_Marsh_Wet.E.suc1",2.25281121513962
"SRS_Marsh_Wet.F.chr1",1.73085386054357
"SRS_Marsh_Wet.F.chr2",0.880657915012017
"SRS_Marsh_Wet.FLOC",0.629561931714669
"SRS_Marsh_Wet.G.hol1",1.2977446587157
"SRS_Marsh_Wet.G.hol2",0.870062860017255
"SRS_Marsh_Wet.H.for1",0.695616119557462
"SRS_Marsh_Wet.H.for2",1.99049969619931
"SRS_Marsh_Wet.H.let1",2.48618468649083
"SRS_Marsh_Wet.J.flo1",3.5114374820541
"SRS_Marsh_Wet.J.flo2",4.10495129020671
"SRS_Marsh_Wet.L.goo1",3.82713848111312
"SRS_Marsh_Wet.L.goo2",5.22589426494367
"SRS_Marsh_Wet.L.mac1",1.96715522188555
"SRS_Marsh_Wet.L.mar1",3.28719608479254
"SRS_Marsh_Wet.L.mic1",2.97745468730245
"SRS_Marsh_Wet.L.mic2",3.44649640582081
"SRS_Marsh_Wet.L.pun2",2.39544326662479
"SRS_Marsh_Wet.LIBINC",0.0133334103376255
"SRS_Marsh_Wet.M.sia1",0.800038830885891
"SRS_Marsh_Wet.MELTUB",0.628373639523258
"SRS_Marsh_Wet.O.aur1",4.0551055637405
"SRS_Marsh_Wet.P.lat2",0.463108532958609
"SRS_Marsh_Wet.PALPAL",1.44390199592922
"SRS_Marsh_Wet.PELFEM",3.55558582446611
"SRS_Marsh_Wet.PERMAT",3.81739862752545
"SRS_Marsh_Wet.PROFAL",1.1559092602467
"SRS_Marsh_Wet.PROSPP",0.620810206580379
"SRS_NP_Dry.E.eve1",3.11618221964261
"SRS_NP_Dry.E.glo1",1.77778233241162
"SRS_NP_Dry.F.chr1",4.76048226647547
"SRS_NP_Dry.F.chr2",0.435470535634961
"SRS_NP_Dry.FLOC",0.136184377683338
"SRS_NP_Dry.G.hol1",1.02546939949518
"SRS_NP_Dry.G.hol2",2.80695175620772
"SRS_NP_Dry.H.for1",0.926075848593169
"SRS_NP_Dry.H.for2",1.31160691099435
"SRS_NP_Dry.L.goo1",1.38083219442888
"SRS_NP_Dry.L.goo2",2.72983392826667
"SRS_NP_Dry.L.mar1",2.29642633061737
"SRS_NP_Dry.P.lat2",2.01105124413372
"SRS_NP_Dry.PALPAL",0.533322117081163
"SRS_NP_Dry.PROFAL",0.815804686796122
"SRS_NP_Wet.BELSPP",1.75143146785731
"SRS_NP_Wet.COENAG",0.539037971872478
"SRS_NP_Wet.E.eve1",1.29567364386127
"SRS_NP_Wet.F.chr1",0.450034074249982
"SRS_NP_Wet.FLOC",0.105543906621975
"SRS_NP_Wet.G.hol1",0.659401410922635
"SRS_NP_Wet.G.hol2",0.684782514179895
"SRS_NP_Wet.H.for1",2.39125440742922
"SRS_NP_Wet.H.for2",0.509855109117817
"SRS_NP_Wet.H.let1",1.42018749705959
"SRS_NP_Wet.L.goo2",1.35102667324776
"SRS_NP_Wet.PALPAL",0.444315016559806
"SRS_NP_Wet.PELFEM",0.304338825977496
"SRS_NP_Wet.PROFAL",0.680847160880347
"SRS_NP_Wet.PROSPP",0.36657918390189
"SRS_NP_Wet.SAGLAN",0.130548724940166
"SRS_Pond_Dry.A.mea1",0.918192162295561
"SRS_Pond_Dry.A.nat1",0.329300776021667
"SRS_Pond_Dry.A.nat2",0.232562829928021
"SRS_Pond_Dry.A.nat3",1.14033356767918
"SRS_Pond_Dry.A.nat4",0.790164298745259
"SRS_Pond_Dry.ALGBAL",6.69829858913733
"SRS_Pond_Dry.B.bel1",0.423604692022381
"SRS_Pond_Dry.BELSPP",0.651137779367485
"SRS_Pond_Dry.BRAGRA",2.23959974575906
"SRS_Pond_Dry.C.uro1",1.95219653204182
"SRS_Pond_Dry.CELSPP",0.719636199616981
"SRS_Pond_Dry.CLADOCERA",5.80704719978485
"SRS_Pond_Dry.COPEPOD",9.25643973624655
"SRS_Pond_Dry.E.eve1",2.11985208769899
"SRS_Pond_Dry.E.suc2",0.150137094658814
"SRS_Pond_Dry.EPHEME",0.696421651809846
"SRS_Pond_Dry.F.chr1",5.3267218711355
"SRS_Pond_Dry.F.con1",0.812909222313839
"SRS_Pond_Dry.FLOC",2.71240608256607
"SRS_Pond_Dry.G.hol1",4.678552028796
"SRS_Pond_Dry.G.hol2",3.95199823534788
"SRS_Pond_Dry.H.for1",3.34538969654173
"SRS_Pond_Dry.H.for2",0.337020828029393
"SRS_Pond_Dry.H.lit1",1.82930699680713
"SRS_Pond_Dry.J.flo1",1.95571549514623
"SRS_Pond_Dry.J.flo2",1.28008412130195
"SRS_Pond_Dry.L.goo1",1.87527671205891
"SRS_Pond_Dry.L.goo2",3.63559145115635
"SRS_Pond_Dry.L.gul1",0.40579077969225
"SRS_Pond_Dry.L.gul2",0.411925974674692
"SRS_Pond_Dry.L.gul3",0.731919724484399
"SRS_Pond_Dry.L.gul4",1.88678779570223
"SRS_Pond_Dry.L.mar1",1.69078783392698
"SRS_Pond_Dry.L.mic1",1.27010032417735
"SRS_Pond_Dry.L.pla1",2.31198894097648
"SRS_Pond_Dry.L.pun2",1.65454550850257
"SRS_Pond_Dry.L.pun3",0.214943145034353
"SRS_Pond_Dry.P.lat2",2.68281515026118
"SRS_Pond_Dry.PALPAL",0.680202076953421
"SRS_Pond_Dry.PLASCA",3.40018176225243
"SRS_Pond_Dry.PROALL",1.15051940303562
"SRS_Pond_Dry.PROFAL",1.35825553448898
"SRS_Pond_Dry.R.gry2",1.88404221953046
"SRS_Pond_Dry.S.lac1",4.21013975285013
"SRS_Pond_Wet.A.cal2",2.05958729171707
"SRS_Pond_Wet.A.gry1",4.27729296588754
"SRS_Pond_Wet.A.nat3",0.05970343069949
"SRS_Pond_Wet.AMPHIPOD",3.45384409388198
"SRS_Pond_Wet.B.bel1",0.48837423897735
"SRS_Pond_Wet.BRAGRA",2.91494423334019
"SRS_Pond_Wet.C.bat1",0.675398155851939
"SRS_Pond_Wet.C.uro1",1.11662594789111
"SRS_Pond_Wet.C.uro2",2.45208228887338
"SRS_Pond_Wet.CELSPP",0.928700882810909
"SRS_Pond_Wet.CLAJAM",2.79533804399016
"SRS_Pond_Wet.COENAG",3.22652097096806
"SRS_Pond_Wet.CORING",1.67818102600227
"SRS_Pond_Wet.E.glo1",1.07415338328799
"SRS_Pond_Wet.E.suc1",1.55034857584154
"SRS_Pond_Wet.E.suc2",1.23512154830034
"SRS_Pond_Wet.ELECEL",3.05622868657096
"SRS_Pond_Wet.F.chr1",4.96880548195503
"SRS_Pond_Wet.F.chr2",2.13555956591467
"SRS_Pond_Wet.F.con1",0.643216927712852
"SRS_Pond_Wet.FLOC",3.2500441898638
"SRS_Pond_Wet.H.for1",7.05183189822671
"SRS_Pond_Wet.H.for2",0.826457365225527
"SRS_Pond_Wet.H.let1",2.60417124122984
"SRS_Pond_Wet.J.flo2",1.03045142592734
"SRS_Pond_Wet.L.goo1",4.17134537155623
"SRS_Pond_Wet.L.goo2",4.55198582724215
"SRS_Pond_Wet.L.gul2",0.840210239313978
"SRS_Pond_Wet.L.gul3",0.882084739129575
"SRS_Pond_Wet.L.gul4",0.837706143566141
"SRS_Pond_Wet.L.mac1",1.76223999427394
"SRS_Pond_Wet.L.mar1",3.54925839934062
"SRS_Pond_Wet.L.mic1",1.48514012087748
"SRS_Pond_Wet.L.mic2",1.00290920189625
"SRS_Pond_Wet.L.pla1",3.12052210250597
"SRS_Pond_Wet.L.pla2",1.15525894790326
"SRS_Pond_Wet.L.pun2",1.34554180203317
"SRS_Pond_Wet.LIBINC",1.36472229171795
"SRS_Pond_Wet.M.sal1",1.22921770431152
"SRS_Pond_Wet.M.sia1",2.5347683178462
"SRS_Pond_Wet.N.pet1",0.591076271001217
"SRS_Pond_Wet.N.vir1",0.871403897016701
"SRS_Pond_Wet.O.aur1",4.5625321888805
"SRS_Pond_Wet.P.lat1",3.76989019845785
"SRS_Pond_Wet.P.lat2",0.962236621699315
"SRS_Pond_Wet.PACLON",0.635899971113103
"SRS_Pond_Wet.PALPAL",0.377442696996724
"SRS_Pond_Wet.PELFEM",4.85466929942451
"SRS_Pond_Wet.PROALL",0.637417569355689
"SRS_Pond_Wet.PROFAL",1.57837000956379
"SRS_Pond_Wet.PROSPP",0.0215220233260661
"SRS_Pond_Wet.T.mar1",0.494145254920159
"SRS_Sawgrass_Wet.L.goo2",3.81122982619038
"TSL_Marsh_Dry.BLUE MITE",10.8553381359478
"TSL_Marsh_Dry.CELSPP",0.696629370134167
"TSL_Marsh_Dry.CHIRON",0.653970023127169
"TSL_Marsh_Dry.COENAG",2.26468495138116
"TSL_Marsh_Dry.COPEPOD",2.96079349264457
"TSL_Marsh_Dry.CORIXI",0.737645544569864
"TSL_Marsh_Dry.E.glo1",1.78636519510099
"TSL_Marsh_Dry.EPHEME",1.75025173619242
"TSL_Marsh_Dry.ERYSIM",4.51937715254435
"TSL_Marsh_Dry.F.chr1",2.25268952327779
"TSL_Marsh_Dry.FLOC",4.2343447978741
"TSL_Marsh_Dry.G.hol2",0.11367737334797
"TSL_Marsh_Dry.GERRID",2.64288652993712
"TSL_Marsh_Dry.H.for1",2.84329128824029
"TSL_Marsh_Dry.H.for2",3.05659758195864
"TSL_Marsh_Dry.L.goo1",1.28892234016138
"TSL_Marsh_Dry.L.goo2",1.9663724167306
"TSL_Marsh_Dry.PACLON",2.21749257811132
"TSL_Marsh_Dry.PALPAL",3.64221905241084
"TSL_Marsh_Dry.PELFEM",4.62866035659591
"TSL_Marsh_Wet.BELSPP",0.444099993741968
"TSL_Marsh_Wet.BLUE MITE",6.15417174803938
"TSL_Marsh_Wet.BRAGRA",1.36168949792483
"TSL_Marsh_Wet.C.bim1",5.23449556067291
"TSL_Marsh_Wet.C.man1",0.313104623729059
"TSL_Marsh_Wet.C.uro1",3.16747442254038
"TSL_Marsh_Wet.CELSPP",0.0647503897118755
"TSL_Marsh_Wet.CHIRON",4.82748758515349
"TSL_Marsh_Wet.COENAG",0.34770096695158
"TSL_Marsh_Wet.COLEOA",9.25209528851624
"TSL_Marsh_Wet.COPEPOD",13.4686634962542
"TSL_Marsh_Wet.CORIXI",2.94052809150327
"TSL_Marsh_Wet.E.glo1",2.82401665600365
"TSL_Marsh_Wet.EPHEME",1.82571593177631
"TSL_Marsh_Wet.ERYSIM",4.8988488079428
"TSL_Marsh_Wet.F.chr1",1.48357628151165
"TSL_Marsh_Wet.FLOC",6.90561836646158
"TSL_Marsh_Wet.G.hol1",3.40093589261276
"TSL_Marsh_Wet.G.hol2",2.691366214396
"TSL_Marsh_Wet.GERRID",0.177350500174555
"TSL_Marsh_Wet.H.for1",3.31687524457988
"TSL_Marsh_Wet.H.for2",1.7741885688567
"TSL_Marsh_Wet.L.goo1",5.72035862339713
"TSL_Marsh_Wet.L.goo2",3.40568749917161
"TSL_Marsh_Wet.L.mar1",1.1293733534483
"TSL_Marsh_Wet.N.pet1",2.04117861162763
"TSL_Marsh_Wet.PALPAL",0.744372461487927
"TSL_Marsh_Wet.PELFEM",15.5900207838321
"TSL_Marsh_Wet.PLASCA",1.01884762325895
"TSL_Marsh_Wet.UTRFOL",15.6176238430216
"TSL_NP_Dry.AMPHIPOD",3.32461486837198
"TSL_NP_Dry.BLUE MITE",21.2208281248179
"TSL_NP_Dry.CLADOCERA",6.0852988242176
"TSL_NP_Dry.COPEPOD",0.829537568256
"TSL_NP_Wet.BLUE MITE",3.60110629383344
"TSL_NP_Wet.BRAGRA",1.19239452288608
"TSL_NP_Wet.C.bim1",4.49570035565974
"TSL_NP_Wet.C.man1",4.72445739255268
"TSL_NP_Wet.C.uro1",1.53448342054908
"TSL_NP_Wet.CELSPP",0.281427812064614
"TSL_NP_Wet.CHIRON",0.00384253423517075
"TSL_NP_Wet.CLADOCERA",3.22108246382349
"TSL_NP_Wet.COENAG",0.315567710753285
"TSL_NP_Wet.COLEOA",0.117553999753224
"TSL_NP_Wet.COPEPOD",1.01885027121291
"TSL_NP_Wet.CORING",2.18638789109032
"TSL_NP_Wet.E.eve1",0.457869343953679
"TSL_NP_Wet.E.glo1",1.90842380543871
"TSL_NP_Wet.ERYSIM",3.69287777562799
"TSL_NP_Wet.F.chr1",0.311948985614187
"TSL_NP_Wet.FLOC",1.42935688894436
"TSL_NP_Wet.G.hol1",0.74553552938631
"TSL_NP_Wet.G.hol2",1.25634546061971
"TSL_NP_Wet.GERRID",0.539549282759225
"TSL_NP_Wet.H.for1",1.48972421067156
"TSL_NP_Wet.H.for2",2.29162844153535
"TSL_NP_Wet.L.goo1",2.24224164675324
"TSL_NP_Wet.L.goo2",2.26895481521148
"TSL_NP_Wet.L.mar1",3.42520353872136
"TSL_NP_Wet.PACLON",0.46581202084862
"TSL_NP_Wet.PALPAL",1.43309458120923
"TSL_NP_Wet.PELFEM",7.48212499388816
"TSL_NP_Wet.PLASCA",9.65886896161328
"TSL_NP_Wet.PONCOR",0.820418295883034
"TSL_Pond_Dry.AMPHIPOD",6.88468734114999
"TSL_Pond_Dry.CHIRON",0.534007026831503
"TSL_Pond_Dry.COPEPOD",3.47940478890873
"TSL_Pond_Dry.FLOC",3.75470373180403
"TSL_Pond_Dry.G.hol1",3.66260154364525
"TSL_Pond_Dry.G.hol2",2.54063254329515
"TSL_Pond_Dry.H.for2",0.166458201997169
"TSL_Pond_Dry.L.goo1",2.04820338238567
"TSL_Pond_Dry.L.goo2",4.7929462466907
"TSL_Pond_Dry.M.ber1",0.502875317650058
"TSL_Pond_Dry.MELTUB",1.5729558278198
"TSL_Pond_Dry.N.pet1",3.02903048882985
"TSL_Pond_Dry.PALPAL",0.599410153926682
"TSL_Pond_Wet.AMPHIPOD",5.17443298919498
"TSL_Pond_Wet.BRAGRA",2.42429255583421
"TSL_Pond_Wet.C.uro1",0.972206049875052
"TSL_Pond_Wet.C.uro2",1.05565751085394
"TSL_Pond_Wet.COPEPOD",0.403887023595008
"TSL_Pond_Wet.FLOC",4.89169578717283
"TSL_Pond_Wet.G.hol1",2.05621178282144
"TSL_Pond_Wet.G.hol2",3.54439322782772
"TSL_Pond_Wet.H.for2",0.302478987252632
"TSL_Pond_Wet.L.goo1",7.07790641793639
"TSL_Pond_Wet.L.goo2",6.13078934807753
"TSL_Pond_Wet.L.mac1",0.396272590725455
"TSL_Pond_Wet.L.sic1",1.817789762938
"TSL_Pond_Wet.M.alb2",1.47428844737363
"TSL_Pond_Wet.M.sal1",3.00698588789612
"TSL_Pond_Wet.M.sia1",2.05171133602554
"TSL_Pond_Wet.N.pet1",2.89319038453847
"TSL_Pond_Wet.OSTRACOD",0.335710516774726
"TSL_Pond_Wet.P.lat2",1.38011191415013
"TSL_Pond_Wet.PALPAL",0.683414608380857
"TSL_Pond_Wet.T.mar1",8.60077160679134
