"","names","interval","lower","upper","NA","NA"
"X99.","SRS_Edge_Dry.H.let1","99%",0.0674115143622803,2.9822970814166,NA,NA
"X95.","SRS_Edge_Dry.H.let1","95%",0.10871008298435,1.63713546253309,NA,NA
"X50.","SRS_Edge_Dry.H.let1","50%",0.226262709016223,0.555160757130695,NA,NA
"X99..1","SRS_Edge_Dry.L.pun1","99%",0.427677906235149,6.08608573605753,NA,NA
"X95..1","SRS_Edge_Dry.L.pun1","95%",0.555001832365055,3.98265439242718,NA,NA
"X50..1","SRS_Edge_Dry.L.pun1","50%",0.967589314151867,1.87276798935823,NA,NA
"X99..2","SRS_Marsh_Dry.A.say1","99%",0.95940583107987,6.51351770071697,NA,NA
"X95..2","SRS_Marsh_Dry.A.say1","95%",1.18356848348332,4.89116970326889,NA,NA
"X50..2","SRS_Marsh_Dry.A.say1","50%",1.82801391230753,2.93010623049385,NA,NA
"X99..3","SRS_Marsh_Dry.B.bel1","99%",0.100305973516444,4.04852804722693,NA,NA
"X95..3","SRS_Marsh_Dry.B.bel1","95%",0.147538393064887,2.28995106061439,NA,NA
"X50..3","SRS_Marsh_Dry.B.bel1","50%",0.31183805863318,0.774883963480884,NA,NA
"X99..4","SRS_Marsh_Dry.C.uro1","99%",0.333055026288149,8.00684279926101,NA,NA
"X95..4","SRS_Marsh_Dry.C.uro1","95%",0.473168824824427,4.81566338168131,NA,NA
"X50..4","SRS_Marsh_Dry.C.uro1","50%",0.913718588962391,1.95061290554094,NA,NA
"X99..5","SRS_Marsh_Dry.CELSPP","99%",0.270476859707792,3.09035449255332,NA,NA
"X95..5","SRS_Marsh_Dry.CELSPP","95%",0.358224068761472,2.13727543469981,NA,NA
"X50..5","SRS_Marsh_Dry.CELSPP","50%",0.600993647753625,1.09016033982225,NA,NA
"X99..6","SRS_Marsh_Dry.E.eve1","99%",0.833038742900774,5.42925929377824,NA,NA
"X95..6","SRS_Marsh_Dry.E.eve1","95%",1.01179555975434,4.12717656183002,NA,NA
"X50..6","SRS_Marsh_Dry.E.eve1","50%",1.52851662408465,2.45803893375063,NA,NA
"X99..7","SRS_Marsh_Dry.E.glo1","99%",1.35561319266074,6.34526208537886,NA,NA
