"ID","Species","Sample_Type","Season","Month","Day","Year","Slough","Site","Habitat","Method","Throw","Length","Wet_Weight","Sex","Stomach_Kept","Comments","Freezer","Tube_Weight","Total_Mass","Sorted","neg_80_freezer","Freeze_Dried","Dried","Crushed","Isotope","Decarb","Entered_by","Checked_by","Count","size_class"
"CU78","CICURO","vert","Wet","12","5",2018,"SRS","23A","Marsh","EFISH",NA,78.55,27.521,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"C.uro1"
"CU79","CICURO","vert","Wet","12","5",2018,"SRS","23A","Marsh","EFISH",NA,85.52,60.549,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"C.uro1"
"CL04","CLABAT","vert","Wet","12","5",2018,"SRS","23A","Marsh","EFISH",NA,164,18.609,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"C.bat1"
"HM78","HEMLET","vert","Wet","12","5",2018,"SRS","23A","Marsh","EFISH",NA,45.86,3.319,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"H.let1"
"LMi16","LEPMIC","vert","Wet","12","5",2018,"SRS","23A","Marsh","FT",NA,77.07,88.93,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"L.mic1"
"MC38","MICSAL","vert","Wet","12","5",2018,"SRS","23A","Marsh","EFISH",NA,228,220,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","VG",NA,"M.sal1"
"CU70","CICURO","vert","Wet","12","5",2018,"SRS","23B","Pond","EFISH",NA,121.74,67.071,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"C.uro2"
"CU71","CICURO","vert","Wet","12","5",2018,"SRS","23B","Pond","EFISH",NA,97.38,35.078,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"C.uro1"
"CU72","CICURO","vert","Wet","12","5",2018,"SRS","23B","Pond","EFISH",NA,56.13,5.602,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"C.uro1"
"CU73","CICURO","vert","Wet","12","5",2018,"SRS","23B","Pond","EFISH",NA,58.05,6.826,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"C.uro1"
"CU69","CICURO","vert","Wet","12","5",2018,"SRS","23C","Pond","EFISH",NA,109.57,56.341,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"C.uro1"
"LMr89","LEPMAR","vert","Wet","12","5",2018,"SRS","23C","Pond","EFISH",NA,47.06,3.705,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","N","N","N","VG","JD",NA,"L.mar1"
"AN19","AMENAT","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,210,300,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"A.nat4"
"AN20","AMENAT","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,192,250,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","MS","",NA,"A.nat4"
"CU15","CICURO","vert","Wet","12","7",2018,"SRS","37","Marsh","EFISH",NA,184,250,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"C.uro2"
"CU16","CICURO","vert","Wet","12","7",2018,"SRS","37","Marsh","EFISH",NA,212,250,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"C.uro2"
"CU24","CICURO","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,142,100,NA,"Y","",NA,NA,NA,"Y","Y","Y","Y","Y","N","N","SS","VG",NA,"C.uro2"
"CL06","CLABAT","vert","Wet","12","17",2018,"SRS","37","Marsh","EFISH",NA,220,107.599,NA,"Y","",NA,NA,NA,"Y","Y","N","N","N","N","N","VG","MS",NA,"C.bat1"
