"","ID","MDS1","MDS2","size_class","Invasion_Status","Habitat","Season","Length","Wet_Weight"
"1","TM24",-0.367525449769387,-0.335684050991028,"T.mar1","Post-Invasion","Marsh","Dry",129.12,99.637
"2","TM22",-0.367525449769387,-0.335684050991028,"T.mar1","Post-Invasion","Marsh","Dry",58.58,9.513
"3","TM21",-0.367525449769387,-0.335684050991028,"T.mar1","Post-Invasion","Marsh","Dry",55.94,6.788
"4","TM20",-0.367525449769387,-0.335684050991028,"T.mar1","Post-Invasion","Marsh","Dry",51.62,7.068
"5","TM15",0.459238038948433,-0.821092824922466,"T.mar1","Post-Invasion","Pond","Wet",105.16,60.554
"6","TM14",-0.367525449769387,-0.335684050991028,"T.mar1","Post-Invasion","Pond","Wet",98.48,47.651
"7","TM13",-0.367525449769387,-0.335684050991028,"T.mar1","Post-Invasion","Pond","Wet",94.44,44.757
"8","TM12",0.459238038948433,-0.821092824922466,"T.mar1","Post-Invasion","Pond","Wet",76.97,24.358
"9","TM11",-0.367525449769387,-0.335684050991028,"T.mar1","Post-Invasion","Pond","Wet",55.34,8.389
"10","SL15",0.274102564229962,-0.513625964402945,"S.lac1","Post-Invasion","Pond","Dry",570,600
"11","SL14",-0.288738387152993,0.162716028218799,"S.lac1","Post-Invasion","Pond","Wet",395,175.234
"12","SL12",0.252657271326582,0.526659705217554,"S.lac1","Post-Invasion","Pond","Dry",25.73,0.212
"13","SL11",-1.28679297241781,-0.664642145999608,"S.lac1","Post-Invasion","Marsh","Wet",67.31,2.078
"14","SL04",0.364649375110067,-0.114981133119075,"S.lac1","Post-Invasion","Marsh","Dry",342.9,99.816
"15","SL03",0.218976246611216,0.190607635815182,"S.lac1","Post-Invasion","Marsh","Dry",60.43,0.671
"16","SL02",0.584128849016173,-0.098519961032113,"S.lac1","Post-Invasion","Marsh","Dry",52.18,0.486
"17","SK03",-0.367525449769387,-0.335684050991028,"C.und1","Post-Invasion","Marsh","Wet",442,1150
"18","SK02",0.459238038948433,-0.821092824922466,"C.und1","Post-Invasion","Marsh","Wet",391,800
"19","SK01",-0.708850091330603,0.0725107788964208,"C.und1","Post-Invasion","Marsh","Wet",230,200
"20","RT13",-0.2848802976639,-0.657408636237303,"R.gry1","Post-Invasion","Marsh","Dry",101.97,5.801
"21","RT12",0.322944244737222,-0.182903074866884,"R.gry1","Post-Invasion","Marsh","Dry",91.15,4.2
"22","RT11",-0.291479646602665,-0.728628623465268,"R.gry1","Post-Invasion","Marsh","Dry",101.14,6.341
"23","RT05",0.0664216254546259,-1.10187902152722,"R.gry1","Post-Invasion","Marsh","Dry",104.88,8.831
"24","RT04",-0.2913477945974,-0.70244952881476,"R.gry1","Post-Invasion","Marsh","Dry",93.98,7.119
"25","RT03",-0.0863835277960786,-0.719993622285425,"R.gry1","Post-Invasion","Marsh","Dry",72.28,5.523
"26","RG05",0.274102564229962,-0.513625964402945,"R.gry2","Post-Invasion","Pond","Dry",42.57,8.91
"27","PX03",0.536192474577724,-0.449920967856705,"P.axa1","Post-Invasion","Marsh","Dry",78.61,1.274
"28","PX02",-0.011116238118482,0.191547587885823,"P.axa1","Post-Invasion","Marsh","Wet",15.45,0.031
"29","PX01",0.143262644312544,0.0425459850794462,"P.axa1","Post-Invasion","Marsh","Dry",86.27,0.839
"30","PL99",-0.118636232551354,-0.447957059652321,"P.lat2","Post-Invasion","Pond","Dry",28.52,0.596
