"","TA","SEA","SEAc"
"SRS_Marsh_Dry.C.uro1",0.00125262202607382,0.00155682107951003,0.00233523161926504
"SRS_Marsh_Dry.E.eve1",0.0755860987396262,0.0420625146938528,0.049072933809495
"SRS_Marsh_Dry.E.glo1",0.409557526997774,0.382425033489378,0.509900044652504
"SRS_Marsh_Dry.E.suc1",0.148558920892491,0.19523937588724,0.29285906383086
"SRS_Marsh_Dry.F.chr1",0.998289984585743,0.486261873008103,0.555727854866404
"SRS_Marsh_Dry.G.hol1",0.0425219042505877,0.0350212463090527,0.0437765578863159
"SRS_Marsh_Dry.G.hol2",0.00864737323595442,0.010752746017331,0.0143369946897747
"SRS_Marsh_Dry.H.for2",0.0141408220688363,0.013587864632871,0.018117152843828
"SRS_Marsh_Dry.H.let1",1.94752144545384,0.551366621574469,0.569152641625258
"SRS_Marsh_Dry.H.lit1",0.00632204321065324,0.0114669179561448,0.0229338359122895
"SRS_Marsh_Dry.L.goo1",0.0116445414953782,0.0055984906272164,0.00594839629141742
"SRS_Marsh_Dry.L.goo2",0.8230279472048,0.154953276679933,0.161690375666017
"SRS_Marsh_Dry.L.mar1",0.132335991095459,0.240030936514248,0.480061873028497
"SRS_Marsh_Dry.L.pun2",0.673035323289905,0.493660292512984,0.592392351015581
"SRS_Marsh_Dry.R.gry1",0.263432130160938,0.218158652931047,0.272698316163809
"SRS_Marsh_Dry.S.lac1",0.0292310739043933,0.053019303263672,0.106038606527344
"SRS_Marsh_Wet.C.bat1",1.4593357378889,0.856791900620736,0.999590550724192
"SRS_Marsh_Wet.C.und1",0.180083945214565,0.326636145338967,0.653272290677934
"SRS_Marsh_Wet.C.uro1",0.0044751449072028,0.00191144525376599,0.00205847950405569
"SRS_Marsh_Wet.C.uro2",0.0312903332217287,0.0403154890606827,0.060473233591024
"SRS_Marsh_Wet.E.suc1",0.0470599287775332,0.0853572688975974,0.170714537795195
"SRS_Marsh_Wet.F.chr1",1.81374776376389,0.693234868685159,0.751004441075589
"SRS_Marsh_Wet.G.hol1",0.290820055793994,0.110685413673734,0.117603252028342
"SRS_Marsh_Wet.G.hol2",1.28114120922884,0.401569273905285,0.426667353524365
"SRS_Marsh_Wet.H.for1",0.387896477278338,0.204994401556101,0.239160135148785
"SRS_Marsh_Wet.H.for2",0.0675781176634762,0.0645267416594335,0.0860356555459113
"SRS_Marsh_Wet.H.let1",0.864613527138328,0.203833706797172,0.213098875287952
"SRS_Marsh_Wet.J.flo1",0,1.2912393113979e-09,2.58247862279581e-09
"SRS_Marsh_Wet.L.goo1",0.295512549397118,0.0887824049784483,0.0951240053340518
"SRS_Marsh_Wet.L.goo2",0.539774642177141,0.200465654210166,0.214784629510892
"SRS_Marsh_Wet.L.mac1",1.81079052656993,0.772310817722026,0.823798205570162
"SRS_Marsh_Wet.L.mic1",7.68988350016708e-06,1.39479058036385e-05,2.7895811607277e-05
"SRS_Marsh_Wet.L.mic2",6.55219471950852e-05,0.000118843666165817,0.000237687332331634
"SRS_Marsh_Wet.L.pun2",0.0441820745647891,0.080137418756163,0.160274837512326
"SRS_Marsh_Wet.O.aur1",0.433655251171132,0.220645653070515,0.248226359704329
"SRS_NP_Dry.F.chr1",2.15853405929004,1.82547355284721,2.43396473712961
"SRS_NP_Dry.G.hol1",0.00152691567847663,0.000950105549314379,0.00108583491350215
"SRS_NP_Dry.G.hol2",0.131855183165348,0.0656854147496652,0.0729837941662947
"SRS_NP_Dry.H.for1",9.42028057774463e-05,0.000127953765210989,0.000191930647816483
"SRS_NP_Dry.H.for2",0.000103240354303064,9.45632169803692e-05,0.000126084289307159
"SRS_NP_Dry.L.goo1",0.000788443769255548,0.0005351114897585,0.0006421337877102
"SRS_NP_Dry.L.goo2",0.0985644669914778,0.0852542578513253,0.10230510942159
"SRS_NP_Dry.P.lat2",0,0,0
"SRS_NP_Wet.E.eve1",1.75280144665981,0.605699427856422,0.641328805965623
"SRS_NP_Wet.G.hol1",0.0251914127014293,0.0373074992264288,0.0559612488396431
"SRS_NP_Wet.G.hol2",0.0353846107291305,0.0641805844441724,0.128361168888345
"SRS_NP_Wet.H.for1",0.234502901477775,0.201680556715006,0.252100695893758
"SRS_NP_Wet.H.for2",0.101588994688054,0.128037353360994,0.170716471147993
"SRS_Pond_Dry.A.nat1",0.0830740269738546,0.150679617309554,0.301359234619108
"SRS_Pond_Dry.A.nat2",0,NA,NA
"SRS_Pond_Dry.A.nat3",0.249719930881414,0.233934933870877,0.292418667338597
"SRS_Pond_Dry.A.nat4",0.377007464649253,0.234061915809804,0.273072235111438
"SRS_Pond_Dry.E.suc2",6.93889390390723e-18,NA,NA
"SRS_Pond_Dry.F.chr1",1.523431629733,0.778933815842115,0.86548201760235
"SRS_Pond_Dry.G.hol1",1.51504949296646,0.652518234588458,0.699126679916205
"SRS_Pond_Dry.G.hol2",2.84573827005011,0.994129641861349,1.0338948275358
"SRS_Pond_Dry.H.for1",0.130175642382291,0.148263848439333,0.197685131252444
"SRS_Pond_Dry.H.for2",0.0219694338793715,0.0308662405496868,0.0411549873995825
"SRS_Pond_Dry.H.lit1",0.0405337832147732,0.0315086358106985,0.0367600751124816
"SRS_Pond_Dry.J.flo2",0.371585494560509,0.673981533792509,1.34796306758502
"SRS_Pond_Dry.L.goo1",0.274150156298622,0.105143439529843,0.110400611506335
"SRS_Pond_Dry.L.goo2",0.658133334033782,0.191114595852762,0.20021529089337
"SRS_Pond_Dry.L.gul2",0.611654047220619,0.343194081677636,0.392221807631584
"SRS_Pond_Dry.L.gul3",0.809371516332892,0.512596099585062,0.5858241138115
"SRS_Pond_Dry.L.gul4",0.0790869778185677,0.117124728126874,0.175687092190312
"SRS_Pond_Dry.L.mar1",0.500011403955627,0.395452051877198,0.474542462252638
"SRS_Pond_Dry.L.pla1",0.817553896991395,0.572219579186998,0.635799532429998
"SRS_Pond_Dry.L.pun2",0.229342594804993,0.339647433817357,0.509471150726035
"SRS_Pond_Dry.P.lat2",0.233901532550402,0.293929334529495,0.367411668161869
"SRS_Pond_Wet.A.cal2",0.072952355904493,0.132320936758958,0.264641873517916
"SRS_Pond_Wet.C.uro1",0.0015419113738,0.00163975832434492,0.00204969790543115
"SRS_Pond_Wet.E.eve1",0.638839266472026,0.430270339152091,0.516324406982509
"SRS_Pond_Wet.E.glo1",5.34431878949221e-05,9.69352202264635e-05,0.000193870440452927
"SRS_Pond_Wet.E.suc1",0.0245541840804528,0.0257958319352248,0.0343944425802998
"SRS_Pond_Wet.F.chr1",1.53888861723354,0.464644503807071,0.486770432559788
"SRS_Pond_Wet.G.hol1",0.797142866856725,0.326804024159871,0.347229275669863
"SRS_Pond_Wet.G.hol2",1.1819668590837,0.390595452262401,0.411153107644633
"SRS_Pond_Wet.H.for1",0.165804671438008,0.0934247025609034,0.106771088641033
"SRS_Pond_Wet.H.for2",0.0360459212971326,0.0653800691319758,0.130760138263952
"SRS_Pond_Wet.H.let1",0.18821505890116,0.0678609748877557,0.073516056128402
"SRS_Pond_Wet.L.goo1",0.265517487839968,0.0861942279643315,0.0909827961845722
"SRS_Pond_Wet.L.goo2",1.23868799181599,0.318462114670792,0.337195180239662
"SRS_Pond_Wet.L.gul2",0.781756240369574,1.12812347773487,1.6921852166023
"SRS_Pond_Wet.L.gul3",0.977194758378383,0.727473441569142,0.831398218936162
"SRS_Pond_Wet.L.gul4",0.213126463130031,0.386568643326738,0.773137286653476
"SRS_Pond_Wet.L.mac1",0.620072783529606,0.520112690766474,0.650140863458092
"SRS_Pond_Wet.L.mic2",0,0,0
"SRS_Pond_Wet.L.pla1",1.713568963159,0.916585676688973,0.999911647297062
"SRS_Pond_Wet.L.pla2",0.0633467646389198,0.0938140866005968,0.140721129900895
"SRS_Pond_Wet.L.pun2",0.557242324329578,0.399869395651238,0.479843274781485
"SRS_Pond_Wet.M.sal1",0.319664820414621,0.364225513017304,0.437070615620765
"SRS_Pond_Wet.M.sia1",0,1.35958037464684e-08,1.69947546830855e-08
"SRS_Pond_Wet.O.aur1",0.167763621048935,0.248451376533993,0.372677064800989
"SRS_Pond_Wet.P.lat1",0,1.22497716850944e-09,1.63330289134592e-09
"SRS_Pond_Wet.P.lat2",0.0826320463338983,0.0829249737632013,0.0967458027237348
"SRS_Pond_Wet.T.mar1",0,NA,NA
"TSL_Marsh_Dry.E.glo1",0.540347299846369,0.275818288889428,0.315220901587918
"TSL_Marsh_Dry.F.chr1",0.488708613001744,0.412881050523676,0.550508067364902
"TSL_Marsh_Dry.H.for1",0.0352657436351717,0.0190201591405148,0.0207492645169252
"TSL_Marsh_Dry.H.for2",0.290595867151409,0.162953161808642,0.183322307034722
"TSL_Marsh_Dry.L.goo1",0.0149241983734129,0.00361456718404907,0.00377886569241493
"TSL_Marsh_Dry.L.goo2",0.159393454582084,0.0405864586100367,0.0422099169544382
"TSL_Marsh_Wet.F.chr1",1.61105002930121,0.735935162242844,0.827927057523199
"TSL_Marsh_Wet.G.hol1",0.56681841528519,0.226517459456224,0.241618623419972
"TSL_Marsh_Wet.G.hol2",1.51684029357666,0.540184600307703,0.581737261869834
"TSL_Marsh_Wet.H.for1",0.332967603888458,0.203540010920485,0.226155567689428
"TSL_Marsh_Wet.H.for2",0.130179809890624,0.129049234572271,0.172065646096361
"TSL_Marsh_Wet.L.goo1",0.341634719238172,0.123487548506991,0.131205520288678
"TSL_Marsh_Wet.L.goo2",0.464218755329982,0.147004406847411,0.156804700637238
"TSL_NP_Wet.C.bim1",0.270301711935671,0.49027307326034,0.980546146520681
"TSL_NP_Wet.E.eve1",0.000154993622331873,0.000281127333645922,0.000562254667291844
"TSL_NP_Wet.G.hol1",0.53469544308304,0.414317889309014,0.497181467170816
"TSL_NP_Wet.H.for1",0.261233964703023,0.146857364982474,0.163174849980527
"TSL_NP_Wet.H.for2",0.0771374558171289,0.0939872078260458,0.140980811739069
